Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,6.98,7.15,6.96,7.1,6.082089,110774945
05-01-21,7.06,7.22,6.97,7.01,6.004993,154456394
06-01-21,7.17,7.35,7.15,7.35,6.296247,171196874
07-01-21,7.47,7.6,7.42,7.53,6.450441,150589737
08-01-21,7.61,7.63,7.47,7.52,6.441875,113522210
11-01-21,7.47,7.48,7.21,7.31,6.261982,88420008
12-01-21,7.4,7.42,7.24,7.28,6.236283,62649493
13-01-21,7.34,7.34,7.17,7.25,6.210584,75591224
14-01-21,7.27,7.28,7.07,7.12,6.099222,75387321
15-01-21,7.05,7.07,6.84,6.92,5.927895,96536730
18-01-21,6.9,6.99,6.79,6.99,5.987859,85218058
19-01-21,7.09,7.14,6.99,7.02,6.013558,71436145
20-01-21,7.04,7.04,6.85,6.92,5.927895,83662348
21-01-21,6.94,7.09,6.9,6.92,5.927895,163922464
22-01-21,6.89,6.91,6.65,6.72,5.756569,123368888
25-01-21,6.78,6.8,6.54,6.56,5.619507,81413839
26-01-21,6.53,6.68,6.4,6.61,5.66234,117514579
27-01-21,6.58,6.61,6.34,6.34,5.431049,101548005
28-01-21,6.28,6.51,6.25,6.51,5.576676,132387448
29-01-21,6.42,6.52,6.36,6.38,5.465314,93537460
01-02-21,6.45,6.54,6.38,6.49,5.559543,69527172
02-02-21,6.55,6.6,6.48,6.55,5.610942,65542662
03-02-21,6.61,6.77,6.6,6.77,5.799401,109681284
04-02-21,6.77,6.78,6.66,6.68,5.722303,76222268
05-02-21,6.74,6.78,6.59,6.61,5.66234,63983693
08-02-21,6.67,6.73,6.56,6.67,5.713737,66765769
09-02-21,6.67,6.9,6.64,6.83,5.850799,160159901
10-02-21,6.86,6.88,6.75,6.82,5.842233,72762084
11-02-21,6.81,6.82,6.67,6.7,5.739436,49655542
12-02-21,6.65,6.74,6.6,6.64,5.688039,58909032
15-02-21,6.7,6.72,6.66,6.7,5.739436,42465185
16-02-21,6.72,6.82,6.5,6.51,5.576676,106023509
17-02-21,6.53,6.55,6.37,6.41,5.491013,114214236
18-02-21,6.46,6.51,6.32,6.32,5.413916,119589088
19-02-21,6.32,6.44,6.25,6.44,5.516712,97555810
22-02-21,6.46,6.47,6.3,6.3,5.396784,75487002
23-02-21,6.35,6.38,6.23,6.24,5.345385,76126533
24-02-21,6.2,6.24,6.01,6.01,5.14836,90387822
