Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,3.775,3.93,3.77,3.92,3.730569,51047936
05-01-21,3.89,3.915,3.78,3.85,3.663951,28399172
06-01-21,3.88,4.155,3.88,4.06,3.863803,60675062
07-01-21,4.08,4.13,3.985,4.08,3.882837,30542978
08-01-21,4.11,4.175,4.085,4.09,3.892354,15359628
11-01-21,4.09,4.135,4.02,4.075,3.878078,21101542
12-01-21,4.11,4.155,4.085,4.115,3.916145,23330258
13-01-21,4.13,4.16,4.03,4.05,3.854287,26464112
14-01-21,4.05,4.245,4.045,4.19,3.987521,45234556
15-01-21,4.175,4.235,4.08,4.135,3.935179,27442926
18-01-21,4.175,4.305,4.1,4.205,4.001796,25243468
19-01-21,4.205,4.24,4.165,4.185,3.982763,16558822
20-01-21,4.165,4.485,4.15,4.33,4.120756,61058332
21-01-21,4.355,4.725,4.35,4.615,4.391984,57202446
22-01-21,4.65,4.825,4.575,4.65,4.425292,40151060
25-01-21,4.895,5.125,4.835,5.125,4.877338,49736914
26-01-21,5.275,5.61,5.135,5.245,4.991539,81012898
27-01-21,5.225,5.265,4.765,4.765,4.534735,49881038
28-01-21,4.75,5.045,4.515,4.985,4.744103,57099766
29-01-21,4.85,5.095,4.83,4.945,4.706037,26147510
01-02-21,4.99,5.22,4.9,5.09,4.844029,45802590
02-02-21,5.135,5.285,5.055,5.2,4.948714,35661732
03-02-21,5.2,5.265,5.12,5.19,4.939197,21735606
04-02-21,5.185,5.545,5.155,5.475,5.210424,47576902
05-02-21,5.575,5.79,5.55,5.64,5.367451,37811010
08-02-21,5.645,6.01,5.645,5.985,5.695779,37516038
09-02-21,6.045,6.245,5.75,5.91,5.624403,37211622
10-02-21,5.975,6.005,5.775,5.815,5.533994,17619166
11-02-21,5.805,5.925,5.63,5.765,5.48641,42107648
12-02-21,5.775,5.91,5.675,5.7,5.424551,18501370
15-02-21,5.71,5.735,5.65,5.65,5.376968,15328064
16-02-21,5.675,5.9,5.58,5.745,5.467377,37923050
17-02-21,5.79,5.82,5.585,5.665,5.391243,20502144
18-02-21,5.675,5.71,5.515,5.59,5.319868,26728342
19-02-21,5.585,5.9,5.53,5.805,5.524477,41409354
22-02-21,5.85,5.915,5.645,5.69,5.415035,23969590
23-02-21,5.7,5.74,5.47,5.6,5.329384,22312376
24-02-21,5.54,5.69,5.39,5.4,5.139049,20011484
25-02-21,5.49,5.665,5.39,5.64,5.367451,30953674
26-02-21,5.25,5.435,5.165,5.28,5.024848,30269814
01-03-21,5.35,5.555,5.315,5.535,5.267525,19263560
02-03-21,5.5,5.54,5.23,5.52,5.25325,55003678
03-03-21,5.535,5.55,5.395,5.415,5.153324,17672434
04-03-21,5.4,5.67,5.37,5.615,5.343659,30978654
05-03-21,5.565,5.71,5.49,5.57,5.300834,27967270
08-03-21,5.605,5.77,5.59,5.65,5.376968,24225844
09-03-21,5.705,5.99,5.685,5.88,5.595853,40543000
10-03-21,5.84,5.87,5.71,5.745,5.467377,16824426
11-03-21,5.775,5.87,5.64,5.65,5.376968,16122354
12-03-21,5.65,5.815,5.64,5.78,5.500686,17636036
15-03-21,5.78,5.95,5.725,5.725,5.448343,13488998
16-03-21,5.745,5.84,5.725,5.8,5.51972,14955210
17-03-21,5.775,6.07,5.775,5.975,5.686263,27697236
18-03-21,5.945,5.98,5.805,5.85,5.567303,14638154
19-03-21,5.815,5.965,5.62,5.71,5.434068,24762100
22-03-21,5.295,5.4,5.14,5.14,4.891613,7482784
23-03-21,4.79,5.275,4.63,5.08,4.834513,30657386
24-03-21,5.12,5.43,5.105,5.415,5.153324,31608540
25-03-21,5.45,5.73,5.44,5.585,5.315109,30018384
26-03-21,5.675,5.7,5.34,5.5,5.234216,18305806
29-03-21,5.485,5.71,5.485,5.665,5.391243,17901622
30-03-21,5.645,5.87,5.56,5.835,5.553028,18612858
31-03-21,5.85,5.925,5.78,5.79,5.510202,11305452
01-04-21,5.8,5.885,5.76,5.83,5.548269,11335532
02-04-21,5.855,6.035,5.82,5.965,5.676746,17720538
05-04-21,5.98,6.4,5.975,6.185,5.886115,27397626
06-04-21,6.19,6.28,6.06,6.19,5.890873,19138438
07-04-21,6.195,6.37,6.095,6.255,5.952732,20571780
08-04-21,6.28,6.305,6.14,6.14,5.843289,12261348
09-04-21,6.12,6.36,5.985,6.13,5.833773,28599492
12-04-21,6.115,6.24,5.91,5.98,5.691021,15453150
13-04-21,6.19,6.24,5.83,5.92,5.63392,23027896
14-04-21,5.97,6.115,5.97,6.085,5.790947,12178532
15-04-21,6.09,6.125,5.96,6.045,5.75288,13057154
16-04-21,6.01,6.645,5.99,6.23,5.928939,14600242
19-04-21,6.265,6.59,6.065,6.1,5.805222,27284162
20-04-21,6.075,6.135,5.795,5.795,5.514961,14399610
21-04-21,5.825,5.925,5.6,5.7,5.424551,16978818
22-04-21,5.65,5.665,5.415,5.555,5.286558,14938098
26-04-21,5.54,5.67,5.525,5.6,5.329384,10147000
27-04-21,5.605,5.815,5.605,5.715,5.438827,9166136
28-04-21,5.685,5.745,5.59,5.715,5.438827,9153790
29-04-21,5.74,5.795,5.65,5.675,5.40076,10022902
30-04-21,5.68,5.815,5.615,5.72,5.443585,13719776
03-05-21,5.715,5.755,5.675,5.71,5.434068,10513456
04-05-21,5.715,6.025,5.715,5.97,5.681504,27232868
05-05-21,5.98,6.01,5.86,5.86,5.57682,8134588
06-05-21,5.875,6.235,5.875,6.17,5.871839,30804042
07-05-21,6.16,6.3,6.065,6.225,5.924181,14038858
10-05-21,6.25,6.53,6.19,6.435,6.124033,20244392
11-05-21,6.3,6.61,6.285,6.45,6.138308,25837208
12-05-21,6.475,6.74,6.475,6.71,6.385744,13651568
17-05-21,6.775,6.815,6.575,6.615,6.295334,16941806
