Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,8.73,8.84,8.63,8.68,8.488434,29143778
05-01-21,8.68,9.4,8.6,8.95,8.752475,50697099
06-01-21,9.18,9.38,9,9.1,8.899164,37034073
07-01-21,9.13,9.21,8.93,9.03,8.830709,11305062
08-01-21,9.1,9.23,8.99,9.08,8.879605,12761249
11-01-21,9.06,9.22,8.89,8.97,8.772034,21773334
12-01-21,9.05,9.7,9.04,9.45,9.24144,35815049
13-01-21,9.48,9.58,9.13,9.27,9.065413,19786623
14-01-21,9.55,10.19,9.47,10.19,9.965107,55925802
15-01-21,10.23,11.2,10.21,10.48,10.248707,86162799
18-01-21,10.5,10.92,10.03,10.56,10.326942,29977977
19-01-21,10.64,10.76,10.36,10.41,10.180252,15000978
20-01-21,10.42,10.71,10.24,10.43,10.199811,18027809
21-01-21,10.42,10.57,10.28,10.29,10.062901,11681434
22-01-21,10.3,10.66,10.25,10.58,10.346501,18434134
25-01-21,10.72,10.8,10.44,10.45,10.21937,10988923
26-01-21,10.44,10.44,10.23,10.28,10.053122,10723177
27-01-21,10.28,10.31,9.54,9.59,9.37835,13639116
28-01-21,9.4,10.24,9.31,10.15,9.925991,13309429
29-01-21,9.95,10.08,9.78,9.85,9.632612,8241909
01-02-21,9.93,10.09,9.65,9.93,9.710846,7816242
02-02-21,9.98,10.57,9.98,10.5,10.268266,13687131
03-02-21,10.55,10.61,10.2,10.43,10.199811,8629077
04-02-21,10.43,10.55,10.34,10.43,10.199811,7162973
05-02-21,10.51,10.74,10.35,10.35,10.121577,10907764
08-02-21,10.45,10.93,10.31,10.76,10.522528,15373900
09-02-21,10.76,10.88,10.61,10.66,10.424735,6324754
10-02-21,10.69,11.24,10.67,10.74,10.502969,15877686
11-02-21,10.68,10.9,10.57,10.8,10.561646,6089195
12-02-21,10.84,11.58,10.79,11.29,11.040832,19907713
15-02-21,11.35,11.74,11.35,11.66,11.402665,9360704
16-02-21,11.7,12,11.15,11.66,11.402665,11226598
17-02-21,11.7,11.77,11.22,11.38,11.128844,7838704
18-02-21,11.38,11.79,11.25,11.68,11.422224,11260529
19-02-21,11.65,11.92,11.43,11.8,11.539576,8729206
22-02-21,11.79,12.17,11.73,11.86,11.598251,6949619
23-02-21,11.85,11.94,11.2,11.2,10.952818,7045284
24-02-21,11,11.34,10.68,10.71,10.473632,6786763
25-02-21,11.1,11.11,10.55,10.72,10.483412,5143139
26-02-21,10.4,10.78,10.21,10.71,10.473632,5187131
01-03-21,10.83,11.3,10.83,11.3,11.050611,5915561
02-03-21,11.3,11.33,11.07,11.14,10.894142,4483454
03-03-21,11.19,12.25,11.19,11.82,11.559134,35859295
04-03-21,11.71,12.12,11.57,11.96,11.696045,15324407
05-03-21,11.94,12.39,11.72,12.22,11.950307,20187894
08-03-21,12.34,12.73,11.92,12.09,11.823175,17029851
09-03-21,12.2,12.29,11.98,12.15,11.881851,7823248
10-03-21,12.18,12.84,12.12,12.22,11.950307,21868753
11-03-21,12.59,12.66,12.25,12.26,11.989423,17829938
