Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,30.42,30.719999,30.34,30.4,27.047268,4199264
05-01-21,30.360001,30.799999,30.040001,30.4,27.047268,7114070
06-01-21,30.42,31.1,30.4,30.98,27.563301,10158000
07-01-21,31.26,32.02,31.059999,31.860001,28.346251,13369095
08-01-21,31.9,32.200001,31.5,32.02,28.488602,8735613
11-01-21,32.099998,33.119999,31.82,32.720001,29.111401,11861588
12-01-21,32.740002,33.540001,32.740002,33.220001,29.556259,9334022
13-01-21,33.439999,33.919998,33.360001,33.740002,30.018909,7924322
14-01-21,33.619999,34.02,33.119999,33.52,29.823172,8935565
15-01-21,33.240002,33.48,32.68,33,29.360521,6025147
18-01-21,32.939999,33.82,32.459999,33.799999,30.072289,5607306
19-01-21,34.099998,35.400002,33.599998,35.02,31.157738,13778550
20-01-21,35.119999,35.68,34.720001,34.779999,30.944208,10278061
21-01-21,34.900002,35.48,34.66,34.880001,31.033182,10385627
22-01-21,34.82,35.439999,33.700001,35.380001,31.478039,12227967
25-01-21,36,36.299999,35.240002,35.880001,31.922892,13133978
26-01-21,35.560001,35.560001,34.18,34.48,30.677294,16007173
27-01-21,34.439999,35.200001,33.02,33.02,29.378315,15695080
28-01-21,32.360001,34.700001,31.879999,34.240002,30.463764,14889342
29-01-21,33.700001,34.66,33,33,29.360521,9590594
01-02-21,33.5,33.82,32.98,33.400002,29.716408,5290703
02-02-21,33.599998,34.919998,33.599998,34.919998,31.068766,8196629
03-02-21,34.939999,35.220001,34.02,34.299999,30.517147,6048152
04-02-21,34.32,34.860001,34.16,34.220001,30.445972,4373085
05-02-21,34.419998,34.52,33.900002,33.919998,30.179054,3896433
08-02-21,34.099998,34.720001,33.939999,34.599998,30.784061,5564102
09-02-21,34.560001,34.599998,33.959999,34.139999,30.374792,4945958
10-02-21,34.18,34.599998,33.959999,34.220001,30.445972,4520941
11-02-21,34.119999,34.5,34.040001,34.040001,30.285822,3019393
12-02-21,34.02,34.220001,33.419998,33.700001,29.98332,3859536
15-02-21,33.799999,34.279999,33.720001,34.040001,30.285822,3668872
16-02-21,34.080002,34.220001,33.080002,33.279999,29.609638,4635657
17-02-21,33.279999,33.66,32.919998,33.5,29.805376,4782112
18-02-21,33.5,34.02,33.220001,33.82,30.090084,6394512
19-02-21,33.900002,35.459999,33.779999,34.880001,31.033182,15935046
22-02-21,35.220001,35.860001,34.860001,35.099998,31.228916,8534088
23-02-21,35.259998,35.540001,33.939999,34.5,30.695091,6930497
24-02-21,34,34.619999,33.119999,33.119999,29.467285,6999556
25-02-21,33.82,34.080002,32.700001,33.02,29.378315,6147984
26-02-21,32.279999,33.82,32.099998,33.18,29.52067,7015076
01-03-21,33.299999,34.5,33.299999,34.18,30.410381,3539595
02-03-21,34.380001,34.639999,34.040001,34.439999,30.641706,4327726
03-03-21,34.52,35.18,34.52,34.799999,30.962002,4734458
04-03-21,34.759998,35.880001,34.759998,35.66,31.727156,10883597
05-03-21,35.540001,36.040001,34.98,35.060001,31.193331,7028407
08-03-21,35.16,35.68,34.98,35.099998,31.228916,5691390
09-03-21,35.16,35.560001,34.98,35.439999,31.531418,4212808
10-03-21,35.32,35.68,35.040001,35.68,31.744951,4122462
11-03-21,35.740002,37.200001,35.68,36.779999,32.723633,12200479
12-03-21,36.779999,36.779999,35.880001,36.220001,32.225395,3728946
15-03-21,36.080002,36.700001,35.799999,35.82,31.869509,3692748
16-03-21,35.82,36.119999,35.540001,35.959999,31.994072,3325092
17-03-21,35.900002,37.080002,35.900002,36.099998,32.118629,6599614
18-03-21,36.099998,36.380001,35.139999,35.299999,31.40686,5278290
19-03-21,35.040001,35.619999,34.279999,34.98,31.12215,4395437
22-03-21,32.619999,33.080002,31.5,31.58,28.097128,7671593
23-03-21,31.5,33.5,28.440001,32.900002,29.271551,7903821
24-03-21,33.299999,35.540001,33.060001,35.5,31.584803,5819516
25-03-21,35.5,36.419998,35.48,35.860001,31.9051,8592481
26-03-21,36.220001,36.34,34.32,34.759998,30.926413,7760933
29-03-21,32.639999,33.360001,32.459999,33.360001,31.705585,3918724
30-03-21,33.080002,34.060001,32.599998,33.880001,32.199799,4818133
31-03-21,33.939999,34.599998,33.459999,33.459999,31.800625,4079535
01-04-21,33.740002,34.139999,33.619999,33.900002,32.218803,3018758
02-04-21,34.360001,34.360001,33.700001,34,32.313847,2185678
05-04-21,33.639999,34.139999,33.639999,33.900002,32.218803,1945537
06-04-21,33.799999,34.259998,33.139999,33.619999,31.952688,3516233
07-04-21,33.5,33.939999,33.200001,33.939999,32.256821,3998564
08-04-21,33.959999,34.060001,33.419998,33.5,31.83864,2894188
09-04-21,33.380001,33.459999,32.139999,32.860001,31.230383,3564567
12-04-21,32.5,32.84,31.559999,31.82,30.241957,3638671
13-04-21,31.9,32.619999,31.26,31.959999,30.375013,4007313
14-04-21,32.279999,32.860001,32.200001,32.860001,31.230383,2435171
15-04-21,32.84,32.98,31.98,32.200001,30.603113,3769404
16-04-21,32.02,32.599998,31.360001,31.559999,29.994852,3638943
19-04-21,31.559999,31.82,30.58,30.98,29.443615,5227959
20-04-21,30.959999,32.48,30.92,31.76,30.184935,7406755
21-04-21,31.76,32.02,29.98,30.360001,28.854364,5963942
22-04-21,29.959999,31.459999,29.84,31.32,29.766754,5470882
26-04-21,31.32,31.82,31.18,31.58,30.013861,4723516
27-04-21,32.48,34.34,32.48,33.299999,31.64856,18702262
28-04-21,33.32,34.02,32.740002,34.02,32.332855,7476454
29-04-21,34.16,35.48,34.16,35,33.264252,11587238
30-04-21,34.84,35.32,34.380001,34.380001,32.675003,6037376
03-05-21,34.299999,34.540001,33.619999,34.439999,32.732025,5081529
04-05-21,34.240002,34.32,33.5,33.799999,32.123764,5380646
05-05-21,33.759998,34.02,33.299999,33.400002,31.743603,3923262
06-05-21,33.299999,33.5,32.580002,32.759998,31.13534,7002332
07-05-21,32.880001,32.98,32.099998,32.799999,31.173357,4880817
10-05-21,32.740002,33.380001,32.740002,33.299999,31.64856,3140476
11-05-21,32.900002,33.119999,32.439999,32.700001,31.078318,3088317
12-05-21,32.5,32.919998,32.48,32.619999,31.002283,959558
17-05-21,32.700001,33.060001,31.940001,32.299999,30.698153,4643765
18-05-21,32.82,33.200001,32.580002,32.580002,30.964268,4700909
20-05-21,32.400002,32.720001,32.040001,32.700001,31.078318,3789209
21-05-21,32.740002,32.900002,32.119999,32.400002,30.793196,2711767
24-05-21,32.52,32.759998,32.119999,32.439999,30.831209,3460195
25-05-21,32.919998,33.560001,31.76,31.76,30.184935,11522341
26-05-21,32,32.419998,31.52,32.139999,30.546087,6215511
27-05-21,32.200001,32.259998,31.5,31.66,30.089893,4222358
28-05-21,31.66,31.98,31.299999,31.98,30.394024,3769484
31-05-21,32,32.220001,31.6,31.6,30.032869,3160351
01-06-21,31.68,32.360001,31.58,31.940001,30.356007,5927480
02-06-21,31.68,31.860001,31.58,31.58,30.013861,3107483
03-06-21,31.6,32.02,31.08,31.639999,30.070885,4699187
04-06-21,31.540001,31.700001,31.24,31.280001,29.728739,3869362
07-06-21,31.280001,31.66,31.280001,31.4,29.842787,3604853
08-06-21,31.360001,31.540001,31.219999,31.26,29.70973,3883387
09-06-21,31.200001,31.4,31.040001,31.08,29.538658,4112723
10-06-21,31.120001,31.58,31.08,31.280001,29.728739,5988304
11-06-21,31.379999,32,31.379999,31.719999,30.146917,7687381
14-06-21,31.84,31.860001,31.059999,31.059999,29.519648,5925754
15-06-21,31.059999,31.200001,30.32,30.440001,28.930395,7844886
16-06-21,30.440001,30.82,30.299999,30.559999,29.044445,6195340
17-06-21,30.32,30.58,30.1,30.18,28.68329,6966918
18-06-21,30.26,30.4,29.16,29.200001,27.751892,8477737
21-06-21,29,29.52,28.879999,29.48,28.018003,6485383
22-06-21,29.5,29.639999,29.219999,29.559999,28.094036,7064681
23-06-21,29.68,29.82,29.08,29.120001,27.675859,6471012
24-06-21,29.139999,29.440001,29.1,29.139999,27.694866,4986123
25-06-21,29.219999,29.98,29.120001,29.540001,28.075029,8087514
28-06-21,29.6,29.84,28.98,29.280001,27.827923,6061162
29-06-21,29.16,29.459999,29.02,29.440001,27.97999,5116823
30-06-21,29.459999,29.959999,29.360001,29.799999,28.322134,10639868
01-07-21,29.700001,30.120001,29.459999,29.84,28.360153,6145091
02-07-21,31.620001,32.599998,31.6,32.380001,30.774187,28887169
05-07-21,32.439999,33.060001,32.439999,33.060001,31.420464,10987233
06-07-21,33.02,33.459999,32.740002,32.779999,31.154346,9903635
07-07-21,32.68,33.34,32.68,33.240002,31.591537,5568377
08-07-21,33.299999,33.540001,32.779999,32.98,31.344429,7711953
09-07-21,32.98,33.18,32.66,32.720001,31.097324,6312708
12-07-21,32.599998,32.82,32.099998,32.32,30.717161,7444648
13-07-21,32.540001,32.900002,31.879999,32.34,30.73617,9710143
14-07-21,32.400002,33.060001,32.32,32.700001,31.078318,6542031
16-07-21,32.700001,33.639999,32.700001,33.419998,31.762608,10972924
19-07-21,33.259998,33.32,32.540001,32.720001,31.097324,2732884
26-07-21,32.759998,32.939999,32.220001,32.540001,30.926252,7127705
27-07-21,32.560001,32.860001,32.400002,32.599998,30.983274,5319798
28-07-21,32.48,32.799999,32.380001,32.5,30.888235,4091215
29-07-21,32.68,33.540001,32.68,33.459999,31.800625,8093306
30-07-21,33.279999,33.34,32.84,33.02,31.382448,4453339
02-08-21,33.279999,33.459999,33.119999,33.119999,31.477486,3784847
03-08-21,33.139999,33.540001,32.919998,33.380001,31.724596,5836666
04-08-21,33.439999,33.599998,33.099998,33.119999,31.477486,6397585
05-08-21,33.040001,33.259998,33,33.119999,31.477486,4350034
06-08-21,33.16,33.419998,32.880001,33,31.36344,6060274
09-08-21,33.060001,33.34,33.040001,33.060001,31.420464,4227305
10-08-21,32.720001,33.119999,32.34,32.880001,31.249392,11244970
11-08-21,32.84,33.119999,32.599998,32.759998,31.13534,8884017
12-08-21,32.900002,33.48,32.740002,33.200001,31.55352,11051290
13-08-21,33.200001,33.5,33.02,33.099998,31.458477,6928491
16-08-21,33.16,33.5,33.060001,33.060001,31.420464,6636986
17-08-21,33.060001,34.400002,33.040001,33.900002,32.218803,17465048
18-08-21,33.959999,34.02,33.040001,33.040001,31.401455,8574578
19-08-21,32.959999,33.099998,32.68,32.959999,31.325422,7329571
20-08-21,32.860001,33,32.700001,32.779999,31.154346,4685341
23-08-21,33,33.080002,32.700001,32.740002,31.116335,4849789
24-08-21,32.82,32.98,32.619999,32.720001,31.097324,5852169
25-08-21,32.639999,32.740002,31.92,31.98,30.394024,8831863
26-08-21,31.92,32.279999,31.559999,31.799999,30.222948,10100083
27-08-21,31.879999,32.18,31.700001,32.139999,30.546087,6720273
31-08-21,32.240002,32.299999,31.959999,32.119999,30.527081,9622802
01-09-21,32.16,32.400002,31.959999,32.220001,30.622122,6305940
02-09-21,32.279999,32.560001,32.16,32.16,30.565096,5714005
03-09-21,32.18,32.32,32,32.02,30.432039,3837845
06-09-21,32.060001,32.16,32,32,30.413031,3044156
07-09-21,32,32.259998,31.9,32.02,30.432039,5995854
08-09-21,32.02,32.139999,31.780001,31.940001,30.356007,7066062
09-09-21,31.860001,32.220001,31.780001,32.119999,30.527081,5833746
10-09-21,32.16,32.419998,32.099998,32.200001,30.603113,6157083
13-09-21,32.220001,32.459999,32.099998,32.279999,30.679144,3989679
14-09-21,32.34,32.419998,31.940001,32.02,30.432039,5256740
15-09-21,32.02,32.240002,31.82,31.82,30.241957,4095501
16-09-21,31.92,32,31.68,31.9,30.317991,4677500
17-09-21,31.940001,32.080002,31.82,31.9,30.317991,6227299
20-09-21,31.620001,31.780001,31.440001,31.700001,30.127911,8206434
21-09-21,31.84,31.940001,31.639999,31.780001,30.203943,4963191
22-09-21,31.84,32,31.74,31.940001,30.356007,4325481
23-09-21,31.940001,32.040001,31.700001,31.860001,30.279976,6092306
24-09-21,31.76,32.119999,31.74,31.860001,30.279976,8910318
27-09-21,31.959999,32.619999,31.959999,32.52,30.907244,9722286
28-09-21,32.459999,32.720001,32.299999,32.5,30.888235,6881175
29-09-21,32.599998,33.080002,32.5,32.66,31.0403,13884061
30-09-21,32.66,32.779999,32.400002,32.639999,31.02129,7181793
01-10-21,32.52,33.040001,32.52,32.66,31.0403,5503926
04-10-21,32.700001,33.18,32.580002,32.84,31.211372,6416968
05-10-21,32.900002,32.919998,32.439999,32.48,30.869226,5166660
06-10-21,32.48,32.52,31.879999,32,30.413031,7214587
07-10-21,32.139999,32.18,31.959999,32.080002,30.489065,5292854
08-10-21,32.040001,32.240002,31.98,31.98,30.394024,3546159
11-10-21,32.02,32.220001,31.860001,32.02,30.432039,5013794
12-10-21,31.9,32.32,31.9,32.139999,30.546087,6822463
13-10-21,32.220001,33.099998,32.220001,32.759998,31.13534,11621955
14-10-21,32.700001,33.220001,32.619999,33,31.36344,4613557
15-10-21,33,33.060001,32.299999,32.48,30.869226,6484484
18-10-21,32.459999,33,32.419998,32.700001,31.078318,4637025
19-10-21,32.799999,32.900002,32.619999,32.759998,31.13534,4262670
20-10-21,32.740002,33.240002,32.700001,32.880001,31.249392,7216656
21-10-21,32.799999,33.560001,32.66,33.560001,31.895666,10911427
22-10-21,33.32,33.860001,33,33.580002,31.914677,8119799
25-10-21,33.259998,33.540001,33.060001,33.18,31.534512,6326722
26-10-21,33.259998,33.619999,33.259998,33.560001,31.895666,8361820
27-10-21,33.560001,33.880001,33.34,33.439999,31.781614,6825981
28-10-21,33.439999,33.700001,33.380001,33.68,32.009716,2223494
