Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,2.22,2.35,2.19,2.35,2.166636,1002299799
05-01-21,2.35,2.51,2.31,2.38,2.194296,371609203
06-01-21,2.4,2.43,2.34,2.38,2.194296,464134930
07-01-21,2.39,2.6,2.39,2.6,2.39713,356717437
08-01-21,2.56,2.61,2.49,2.54,2.341811,121256935
11-01-21,2.54,2.59,2.47,2.5,2.304933,800437318
12-01-21,2.52,2.53,2.45,2.46,2.268054,257786477
13-01-21,2.47,2.5,2.42,2.45,2.258834,397726732
14-01-21,2.45,2.5,2.42,2.47,2.277273,480331145
15-01-21,2.47,2.53,2.44,2.46,2.268054,601136311
18-01-21,2.46,2.52,2.41,2.49,2.295713,454418143
19-01-21,2.52,2.55,2.46,2.47,2.277273,704714794
20-01-21,2.46,2.47,2.42,2.45,2.258834,313944532
21-01-21,2.53,2.59,2.51,2.52,2.323372,1033784440
22-01-21,2.51,2.52,2.45,2.49,2.295713,321957506
25-01-21,2.51,2.52,2.45,2.47,2.277273,309661881
26-01-21,2.46,2.56,2.45,2.54,2.341811,914546350
27-01-21,2.54,2.57,2.34,2.35,2.166636,722966160
28-01-21,2.31,2.41,2.26,2.37,2.185076,922358579
29-01-21,2.33,2.43,2.32,2.41,2.221955,732323275
01-02-21,2.42,2.47,2.42,2.44,2.249614,317390802
02-02-21,2.45,2.49,2.42,2.46,2.268054,516134572
03-02-21,2.46,2.54,2.45,2.52,2.323372,39603061
04-02-21,2.51,2.53,2.48,2.48,2.286493,464325266
05-02-21,2.5,2.52,2.45,2.45,2.258834,328870583
08-02-21,2.48,2.69,2.47,2.69,2.480108,71791478
09-02-21,2.71,2.75,2.56,2.6,2.39713,840806728
10-02-21,2.61,2.68,2.58,2.63,2.424789,688869119
11-02-21,2.62,2.62,2.55,2.56,2.360251,422484998
12-02-21,2.56,2.58,2.51,2.52,2.323372,331815350
15-02-21,2.54,2.56,2.52,2.54,2.341811,289517206
16-02-21,2.54,2.61,2.49,2.5,2.304933,657924110
17-02-21,2.51,2.53,2.46,2.47,2.277273,332114143
18-02-21,2.48,2.51,2.46,2.46,2.268054,193703438
19-02-21,2.46,2.47,2.42,2.44,2.249614,255602183
22-02-21,2.46,2.47,2.41,2.43,2.240395,238895736
23-02-21,2.44,2.45,2.32,2.34,2.157417,461814440
24-02-21,2.32,2.38,2.26,2.27,2.092879,487622366
25-02-21,2.38,2.39,2.22,2.31,2.129758,594075584
26-02-21,2.23,2.29,2.22,2.23,2.056,409212375
01-03-21,2.27,2.35,2.26,2.35,2.166636,327367460
02-03-21,2.34,2.46,2.31,2.42,2.231174,811397033
