Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,6.906667,7.065333,6.897333,6.981333,6.31047,8051440
05-01-21,6.953333,7.410667,6.916,7.28,6.580438,26137198
06-01-21,7.270667,7.830667,7.214667,7.550667,6.825095,19361741
07-01-21,7.597333,7.662667,7.429333,7.532,6.808222,7574971
08-01-21,7.56,7.653333,7.438667,7.513333,6.791348,5393258
11-01-21,7.606667,7.746667,7.513333,7.588,6.85884,7487707
12-01-21,7.653333,8.344,7.541333,8.344,7.542193,14774793
13-01-21,8.614667,9.137333,8.185333,8.185333,7.398774,32494519
14-01-21,8.204,8.241333,7.746667,7.756,7.010697,17056846
15-01-21,7.728,7.849333,7.569333,7.653333,6.917895,9710321
18-01-21,7.681333,7.877333,7.550667,7.746667,7.002261,13375224
19-01-21,7.84,7.858667,7.765333,7.793333,7.044442,8714384
20-01-21,7.830667,7.830667,7.681333,7.737333,6.993824,4999439
21-01-21,7.802667,7.896,7.690667,7.728,6.985387,8907531
22-01-21,7.7,7.737333,7.541333,7.616,6.88415,4902303
25-01-21,7.662667,7.672,7.569333,7.588,6.85884,5011214
26-01-21,7.597333,7.606667,7.494667,7.541333,6.816658,5630551
27-01-21,7.578667,7.606667,7.205333,7.205333,6.512946,10186949
28-01-21,7.074667,7.289333,7,7.261333,6.563564,9833328
29-01-21,7.224,7.308,7.065333,7.261333,6.563564,7013051
01-02-21,7.270667,7.42,7.168,7.308,6.605747,7494433
02-02-21,7.345333,7.681333,7.28,7.504,6.782912,10283661
03-02-21,7.569333,7.634667,7.438667,7.550667,6.825095,6739014
04-02-21,7.56,7.588,7.401333,7.410667,6.698548,5471408
05-02-21,7.429333,7.476,7.336,7.336,6.631056,5627548
08-02-21,7.382667,7.392,7.224,7.289333,6.588873,6420269
09-02-21,7.317333,7.448,7.270667,7.28,6.580438,7667803
10-02-21,7.326667,7.354667,7.261333,7.270667,6.572002,5802465
11-02-21,7.270667,7.345333,7.233333,7.242667,6.546692,5325775
12-02-21,7.224,7.233333,7.102667,7.14,6.45389,6108046
15-02-21,7.242667,7.317333,7.233333,7.252,6.555128,7277150
16-02-21,7.317333,7.326667,7.112,7.214667,6.521382,7211329
17-02-21,7.242667,7.270667,7.112,7.130667,6.445455,5544409
18-02-21,7.168,7.177333,7.037333,7.074667,6.394836,6961003
19-02-21,7.093333,7.168,7.028,7.14,6.45389,8617545
22-02-21,7.196,7.336,7.084,7.121333,6.437017,11813048
23-02-21,7.14,7.158667,6.944,6.953333,6.285161,6980641
24-02-21,6.906667,6.934667,6.72,6.72,6.074249,7452536
25-02-21,6.776,6.832,6.645333,6.794667,6.141742,6984461
26-02-21,6.626667,6.766667,6.598667,6.598667,5.964577,7424101
01-03-21,6.664,6.878667,6.664,6.813333,6.158615,6931958
02-03-21,6.813333,6.953333,6.766667,6.86,6.200797,8648386
03-03-21,6.897333,7.102667,6.888,7.037333,6.361089,10015542
04-03-21,7.037333,7.541333,7,7.317333,6.614183,40357230
05-03-21,7.466667,7.653333,7.364,7.373333,6.664801,29605089
08-03-21,7.382667,7.476,7.28,7.289333,6.588873,15388688
09-03-21,7.336,7.858667,7.289333,7.746667,7.002261,40512850
10-03-21,7.756,7.784,7.578667,7.588,6.85884,11481256
11-03-21,7.746667,7.989333,7.709333,7.830667,7.078189,19462523
12-03-21,7.84,7.868,7.662667,7.662667,6.926332,10272836
15-03-21,7.709333,7.886667,7.653333,7.7,6.960078,8604675
16-03-21,7.718667,7.746667,7.578667,7.644,6.90946,7174670
17-03-21,7.625333,7.793333,7.494667,7.494667,6.774477,10067688
18-03-21,7.522667,7.569333,7.354667,7.382667,6.673239,5427093
19-03-21,7.298667,7.522667,7.252,7.317333,6.614183,8574823
22-03-21,6.86,7.205333,6.692,6.906667,6.242979,11833629
23-03-21,6.906667,7.438667,6.766667,7.373333,6.664801,10764561
24-03-21,7.401333,7.597333,7.401333,7.466667,6.749166,10200345
25-03-21,7.466667,7.569333,7.326667,7.354667,6.64793,10536480
26-03-21,7.42,7.438667,7.102667,7.261333,6.563564,7615334
29-03-21,7.261333,7.98,7.261333,7.98,7.213171,25367967
30-03-21,8.036,8.381333,7.662667,7.709333,6.968514,46285659
31-03-21,7.765333,7.933333,7.392,7.392,6.681675,14795048
01-04-21,7.504,7.662667,7.494667,7.597333,6.867277,11429382
02-04-21,7.653333,7.7,7.494667,7.578667,6.850404,6585520
05-04-21,7.606667,7.662667,7.550667,7.588,6.85884,6333766
06-04-21,7.578667,7.597333,7.476,7.476,6.757603,4579145
07-04-21,7.466667,7.513333,7.373333,7.429333,6.715421,8205901
08-04-21,7.438667,7.634667,7.438667,7.485333,6.766039,8660855
09-04-21,7.494667,7.550667,7.261333,7.382667,6.673239,5892628
12-04-21,7.438667,7.550667,7.345333,7.485333,6.766039,7002349
13-04-21,7.168,7.205333,6.72,6.981333,6.604582,13616521
14-04-21,6.981333,7.102667,6.934667,7.009333,6.631071,5273469
15-04-21,7.028,7.205333,6.897333,7.121333,6.737027,8249689
16-04-21,7.121333,7.672,7.093333,7.56,7.152021,27071023
19-04-21,7.569333,7.634667,7.289333,7.513333,7.107872,15775405
20-04-21,7.504,7.569333,7.242667,7.252,6.860642,5964044
21-04-21,7.205333,7.345333,6.944,7.018667,6.639901,7554627
22-04-21,6.906667,7.065333,6.906667,6.972,6.595753,5858112
26-04-21,6.906667,7.158667,6.906667,7.14,6.754686,4938888
27-04-21,7.121333,7.214667,7.074667,7.084,6.701709,3944305
28-04-21,7.084,7.158667,6.990667,7.112,6.728198,3359817
29-04-21,7.093333,7.205333,7.084,7.130667,6.745857,2301360
30-04-21,7.14,7.42,7.130667,7.326667,6.93128,7204553
03-05-21,7.364,7.448,7.326667,7.382667,6.984258,4153320
