Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,14.95,15.1,14.26,14.8,11.424827,25755587
05-01-21,14.81,15.09,14.38,14.4,11.116048,31986587
06-01-21,14.73,14.94,14.58,14.67,11.324473,27339649
07-01-21,14.7,14.71,14.28,14.59,11.262718,49308878
08-01-21,14.97,15.08,14.8,15.05,11.617815,40189966
11-01-21,14.93,15.14,14.72,14.85,11.463426,20589749
12-01-21,14.88,15.25,14.69,15.15,11.695008,36221520
13-01-21,15.25,15.41,15.15,15.32,11.82624,30870324
14-01-21,15.44,15.54,15.11,15.17,11.710448,23692221
15-01-21,15.05,15.47,14.98,15.22,11.749045,38128249
18-01-21,15.19,16.469999,15.15,15.94,12.304848,61413615
19-01-21,16.059999,16.280001,15.63,15.71,12.127299,49203222
20-01-21,15.74,15.77,15.28,15.67,12.096422,34398920
21-01-21,15.85,15.9,15.14,15.24,11.764484,40345419
22-01-21,15.1,15.17,14.74,14.84,11.455706,28656530
25-01-21,14.99,15.04,14.76,14.82,11.440266,21491770
26-01-21,14.69,15.17,14.63,15,11.579216,32320948
27-01-21,15.02,15.08,14.49,14.5,11.193243,29408818
28-01-21,14.3,14.76,14.3,14.69,11.339912,32169571
29-01-21,14.54,14.57,14.12,14.35,11.077451,31738112
01-02-21,14.35,14.45,14.18,14.31,11.046574,17371352
02-02-21,14.41,14.84,14.41,14.62,11.285876,28447011
03-02-21,14.72,14.81,14.42,14.64,11.301316,32778314
04-02-21,14.66,14.99,14.66,14.8,11.424827,33756235
05-02-21,14.9,15.08,14.59,14.6,11.270437,25212815
08-02-21,14.7,15.03,14.63,14.96,11.548339,34475085
09-02-21,14.97,15.11,14.89,14.98,11.563778,25664911
10-02-21,15.07,15.26,14.8,15.05,11.617815,36236550
11-02-21,15.15,15.4,15.08,15.3,11.810802,45278430
12-02-21,15.39,15.46,15.02,15.11,11.664131,41145801
15-02-21,15.23,15.31,15.13,15.18,11.718168,21923299
16-02-21,15.19,15.24,14.6,14.72,11.363072,39707339
17-02-21,14.72,14.91,14.61,14.72,11.363072,26123141
18-02-21,14.78,14.97,14.71,14.71,11.355352,21586159
19-02-21,14.73,14.81,14.62,14.76,11.39395,20945538
22-02-21,14.89,15.02,14.55,14.58,11.254999,25110174
23-02-21,14.62,14.83,14.33,14.44,11.146926,33165148
24-02-21,14.4,14.67,14.27,14.42,11.131487,21811879
25-02-21,14.72,14.92,14.58,14.86,11.471144,33543635
26-02-21,14.63,14.91,14.48,14.59,11.262718,37847571
01-03-21,14.7,15.14,14.67,15.1,11.656412,30102173
02-03-21,15.12,15.16,14.87,15.1,11.656412,24161544
03-03-21,15.21,15.99,15.21,15.5,11.965191,82141694
04-03-21,15.5,15.88,15.37,15.76,12.165897,37384575
05-03-21,15.7,15.86,15.51,15.81,12.204494,27647800
08-03-21,15.91,16.280001,15.82,16,12.351165,45099965
09-03-21,16.08,16.4,15.98,16.4,12.659944,38796029
10-03-21,16.4,16.950001,16.370001,16.799999,12.968722,44601580
11-03-21,16.82,16.93,16.41,16.559999,12.783455,30660770
12-03-21,16.559999,16.83,16.5,16.799999,12.968722,32148033
15-03-21,16.83,16.84,16.639999,16.75,12.930126,21158773
16-03-21,16.799999,16.92,16.74,16.799999,12.968722,21905056
17-03-21,16.799999,17.030001,16.719999,16.940001,13.076797,38837192
18-03-21,16.969999,17.08,16.719999,16.799999,12.968722,30147124
19-03-21,16.799999,16.99,16.26,16.34,12.613627,37989611
22-03-21,15.35,15.38,14.71,14.71,11.355352,69134295
23-03-21,13.6,15.85,13.24,15.4,11.887996,142133971
24-03-21,13.7,14.4,13.65,14.35,12.58987,54214521
25-03-21,14.35,14.58,13.72,13.72,12.037145,43251775
26-03-21,13.91,14.07,13.54,13.8,12.107332,47372503
29-03-21,13.92,14.82,13.92,14.61,12.817979,46650493
30-03-21,14.66,14.9,14.22,14.89,13.063636,46548324
31-03-21,14.92,15.26,14.8,15.26,13.388252,43441259
01-04-21,15.3,15.55,15.24,15.27,13.397026,24981937
02-04-21,15.35,15.42,15.1,15.15,13.291744,17742342
05-04-21,15.15,15.5,15.08,15.45,13.554947,21408314
06-04-21,15.44,15.51,15.31,15.41,13.519854,28763507
07-04-21,15.41,15.7,15.3,15.63,13.71287,37121226
08-04-21,15.62,15.98,15.61,15.84,13.897111,36775189
09-04-21,15.84,16.440001,15.77,16.309999,14.309462,89314240
12-04-21,16.309999,16.59,16.110001,16.4,14.388423,62299732
13-04-21,16.440001,17.629999,16.440001,17.09,14.99379,122438821
14-04-21,17.190001,17.52,16.879999,17.52,15.371048,85933030
15-04-21,17.549999,18.379999,17.469999,18.030001,15.818493,97287038
16-04-21,18.049999,18.360001,17.65,18.34,16.090469,76258174
19-04-21,18.360001,18.76,18.1,18.16,15.932547,89357042
20-04-21,18.16,18.450001,17.870001,18.23,15.99396,86666077
21-04-21,18.16,18.35,17.280001,17.84,15.651797,75080141
22-04-21,17.65,18.040001,17.6,17.99,15.783399,55045931
26-04-21,18.02,19.389999,18.02,19.32,16.950264,86852389
27-04-21,19.309999,19.59,19.01,19.450001,17.06432,71942175
28-04-21,19.450001,19.629999,18.790001,18.940001,16.616875,59406098
29-04-21,18.950001,19.309999,18.940001,19.26,16.897625,39173128
30-04-21,19.299999,19.43,18.92,19.040001,16.704609,62525470
03-05-21,19.030001,19.110001,18.84,18.959999,16.63442,32762265
04-05-21,18.969999,19.790001,18.940001,19.65,17.239788,93356754
05-05-21,19.709999,19.74,19.18,19.440001,17.055546,53829610
06-05-21,19.459999,20.16,19.450001,19.799999,17.371387,80169517
07-05-21,19.950001,20.120001,19.27,19.74,17.318748,45690133
10-05-21,20,20.48,19.92,20.440001,17.932888,41077218
11-05-21,20.24,20.559999,20.1,20.1,17.634592,38036768
12-05-21,20.1,20.32,19.860001,19.99,17.538084,18198273
17-05-21,19.9,19.93,19.08,19.43,17.046772,72490803
18-05-21,19.559999,19.76,19.27,19.35,16.976585,44261392
20-05-21,18.99,19.09,18.540001,18.57,16.292257,38927284
21-05-21,18.57,19.030001,18.57,18.709999,16.415085,32549495
24-05-21,18.65,19.27,18.610001,19.23,16.871304,43404387
25-05-21,19.299999,19.370001,18.48,18.48,16.213297,40349705
26-05-21,18.629999,19.16,18.629999,19.08,16.739702,31008862
27-05-21,19.129999,19.129999,18.66,18.860001,16.546688,36686159
28-05-21,18.98,19.25,18.85,19.209999,16.853756,44746910
31-05-21,19.15,19.559999,19.120001,19.23,16.871304,33822615
01-06-21,19.27,19.5,19.1,19.41,17.029224,23965256
02-06-21,19.32,19.459999,19.200001,19.23,16.871304,21467864
03-06-21,19.290001,19.469999,18.77,19.059999,16.722155,28545895
