Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,10.41,10.51,10.32,10.33,9.201124,131841519
05-01-21,10.29,10.41,10.05,10.09,8.987352,200649427
06-01-21,10.2,10.44,10.13,10.4,9.263474,225358010
07-01-21,10.53,10.59,10.39,10.52,9.37036,162347598
08-01-21,10.58,10.81,10.47,10.79,9.610854,237594804
11-01-21,10.67,10.76,10.36,10.44,9.299103,149716522
12-01-21,10.59,10.68,10.45,10.49,9.343639,118236711
13-01-21,10.56,10.62,10.41,10.5,9.352546,122473499
14-01-21,10.61,10.61,10.29,10.3,9.174402,117879322
15-01-21,10.15,10.23,9.96,10.03,8.933908,142253685
18-01-21,9.98,10.15,9.89,10.11,9.005166,153201267
19-01-21,10.2,10.31,10.11,10.15,9.040794,116131950
20-01-21,10.18,10.18,9.95,10.05,8.951724,114317512
21-01-21,10.08,10.34,10.02,10.05,8.951724,232206974
22-01-21,10,10.03,9.66,9.75,8.684507,209832734
25-01-21,9.81,9.86,9.53,9.55,8.506364,129358749
26-01-21,9.48,9.69,9.34,9.52,8.479642,202388501
27-01-21,9.44,9.49,9.09,9.11,8.114447,189065479
28-01-21,9.01,9.39,8.97,9.39,8.363849,255518336
29-01-21,9.18,9.45,9.15,9.31,8.292592,237175665
01-02-21,9.4,9.55,9.31,9.48,8.444013,162525674
02-02-21,9.54,9.71,9.52,9.69,8.631064,173228903
03-02-21,9.73,10.1,9.71,10.1,8.99626,188357860
04-02-21,10.11,10.17,9.91,9.92,8.835929,141601521
05-02-21,10.03,10.08,9.74,9.76,8.693415,136562162
08-02-21,9.82,9.97,9.71,9.84,8.764672,149803327
09-02-21,9.84,10.3,9.8,10.2,9.085331,242762175
10-02-21,10.3,10.3,10.08,10.18,9.067517,126328276
11-02-21,10.16,10.17,9.93,9.94,8.853745,115900007
12-02-21,9.88,10.07,9.84,9.92,8.835929,153511688
15-02-21,10.04,10.06,9.95,10.05,8.951724,94084359
16-02-21,10.07,10.15,9.72,9.74,8.675601,179626893
17-02-21,9.77,9.8,9.54,9.55,8.506364,185293465
18-02-21,9.56,9.63,9.31,9.33,8.310405,187758541
19-02-21,9.33,9.49,9.2,9.44,8.408384,175234466
22-02-21,9.44,9.47,9.19,9.21,8.203519,126629651
23-02-21,9.26,9.36,9.16,9.18,8.176798,143332203
24-02-21,9.11,9.25,8.95,8.95,7.971932,165832073
25-02-21,9.12,9.15,8.88,9.08,8.087726,147611241
26-02-21,8.83,9.02,8.78,8.92,7.945211,218008145
01-03-21,9.09,9.27,8.94,9.27,8.256964,194681438
02-03-21,9.23,9.33,9.14,9.2,8.194613,156318198
03-03-21,9.26,9.45,9.18,9.19,8.185704,201891087
04-03-21,9.14,9.42,9.1,9.4,8.372755,139373118
