Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,86.599998,86.75,77.449997,77.449997,77.449997,22583189
05-01-21,75.25,75.800003,69.75,69.75,69.75,34567187
06-01-21,68.150002,72.300003,63,68.849998,68.849998,31687155
07-01-21,69.599998,74.650002,66.5,72.400002,72.400002,21897793
08-01-21,72.449997,73.599998,70.199997,71.099998,71.099998,8468439
11-01-21,69.599998,72.449997,68.400002,68.75,68.75,12245375
12-01-21,68.849998,69.849998,67.349998,67.449997,67.449997,4483648
13-01-21,67.400002,68.650002,65.550003,67.150002,67.150002,8360552
14-01-21,67.5,71.099998,66.050003,67.650002,67.650002,13227541
15-01-21,67.550003,68.5,66.650002,67.550003,67.550003,3704423
18-01-21,67.400002,68.150002,66,67.199997,67.199997,4612597
19-01-21,67.5,73,67.050003,71.800003,71.800003,14193059
20-01-21,73.300003,74.599998,70.599998,71.150002,71.150002,7953574
21-01-21,71.300003,71.800003,67.800003,67.949997,67.949997,6532230
22-01-21,67.849998,68.75,66.300003,66.949997,66.949997,5127307
25-01-21,67.400002,67.75,66.449997,66.5,66.5,5342554
26-01-21,67,67.150002,65.699997,66.050003,66.050003,3476060
27-01-21,66.099998,66.449997,62.75,62.849998,62.849998,5424450
28-01-21,61.400002,69.099998,59.5,69.099998,69.099998,11580028
29-01-21,73.849998,76,71.5,72.5,72.5,31353413
01-02-21,73.150002,73.349998,69.099998,69.150002,69.150002,10113146
02-02-21,69.25,71.75,68.550003,68.699997,68.699997,8079003
03-02-21,69.199997,72.050003,69,69.5,69.5,8769075
04-02-21,69.699997,70.300003,68.800003,68.800003,68.800003,3300052
05-02-21,69.150002,69.849998,68,68,68,4024396
08-02-21,68.5,69.300003,66.800003,67.099998,67.099998,3685344
09-02-21,67.900002,71.300003,67.400002,68.949997,68.949997,9774956
10-02-21,69.800003,70.599998,68.650002,68.849998,68.849998,5287166
11-02-21,69,69.75,68.199997,68.300003,68.300003,3406785
12-02-21,68.300003,70.75,67.199997,69.150002,69.150002,7526704
15-02-21,70.25,75,69.849998,73.150002,73.150002,16593000
16-02-21,74.099998,79.449997,71.050003,77.900002,77.900002,27739026
17-02-21,78.699997,79.849998,74.699997,75.900002,75.900002,13330495
18-02-21,77.949997,78.199997,75.300003,76.5,76.5,7380908
19-02-21,76.5,84.050003,75.400002,79.800003,79.800003,29333110
22-02-21,81.199997,82.050003,77.650002,78.349998,78.349998,11864794
23-02-21,79,83.800003,78.849998,82.25,82.25,21887171
24-02-21,82.150002,84.5,74.050003,74.099998,74.099998,25451272
25-02-21,75.099998,76.949997,71.050003,73.900002,73.900002,16190612
26-02-21,71,79.800003,70.199997,79.800003,79.800003,9201904
01-03-21,81.5,83.25,79,81.400002,81.400002,8807461
02-03-21,81.300003,83.400002,79.699997,80.199997,80.199997,6463262
03-03-21,80.800003,81.849998,78.949997,79.550003,79.550003,3557558
04-03-21,79.150002,82.050003,78,80.5,80.5,8033180
05-03-21,79.900002,82.099998,79.900002,80.150002,80.150002,5468060
08-03-21,80.199997,81.449997,78.349998,78.550003,78.550003,4867669
09-03-21,79,81.949997,78.75,81.050003,81.050003,5473915
10-03-21,81.099998,85.650002,80.75,82.550003,82.550003,13190867
11-03-21,83.699997,84.400002,79.199997,79.650002,79.650002,6904281
12-03-21,79.349998,81.699997,78.599998,79.650002,79.650002,3088867
15-03-21,79.699997,80.150002,78.5,78.75,78.75,1984350
16-03-21,78.900002,79.699997,77.349998,78.5,78.5,2435580
17-03-21,78.5,78.650002,75.949997,76.699997,76.699997,2342332
18-03-21,76.699997,78.099998,75.449997,75.849998,75.849998,2958807
19-03-21,75.949997,77.400002,72.150002,77.400002,77.400002,4750347
22-03-21,73,74.099998,69.699997,69.699997,69.699997,2245204
23-03-21,64.050003,72.900002,62.75,70.800003,70.800003,6931438
24-03-21,71.599998,77.849998,70.800003,76.800003,76.800003,6019549
25-03-21,76.75,77.400002,73.599998,73.949997,73.949997,3695787
26-03-21,75.150002,76.849998,72,73.550003,73.550003,4161647
29-03-21,74.5,76,73.400002,73.5,73.5,3091677
30-03-21,73.25,74.099998,71.800003,72.5,72.5,3732243
31-03-21,72.5,74.5,72.199997,73.099998,73.099998,4305459
01-04-21,73.949997,75.300003,73.599998,74.050003,74.050003,2783413
02-04-21,74.550003,75,73,73,73,2160353
05-04-21,73.099998,78.199997,72.800003,77.949997,77.949997,10221120
06-04-21,78.300003,81.5,75.449997,76,76,14422408
07-04-21,76.199997,76.300003,73.900002,74.5,74.5,4985035
08-04-21,75,77.099998,74,74,74,6279774
09-04-21,72.599998,73.349998,70.400002,71.5,71.5,4444424
12-04-21,71.5,71.75,68.5,68.5,68.5,3550359
13-04-21,69,69.699997,66,66.949997,66.949997,3963605
14-04-21,68.199997,71.550003,68.199997,69.75,69.75,4312739
15-04-21,70.050003,70.150002,68,68.449997,68.449997,1934205
16-04-21,68.5,70.050003,67.849998,68.150002,68.150002,1876406
19-04-21,68.400002,69.550003,65.75,65.75,65.75,1932785
