Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,1.038011,1.053648,1.013746,1.034776,1.034776,321643085
05-01-21,1.02453,1.088159,1.019677,1.077374,1.077374,292594598
06-01-21,1.100022,1.117277,1.068747,1.08061,1.08061,233213618
07-01-21,1.09463,1.194926,1.083845,1.194926,1.194926,306328376
08-01-21,1.21326,1.313556,1.206789,1.313556,1.313556,457037993
11-01-21,1.312477,1.437578,1.279045,1.40091,1.40091,429201724
12-01-21,1.455912,1.478559,1.385812,1.42895,1.42895,354180661
13-01-21,1.425715,1.477481,1.391204,1.424636,1.424636,301599530
14-01-21,1.439735,1.571306,1.418166,1.523854,1.523854,516433161
15-01-21,1.509834,1.552972,1.450519,1.469931,1.469931,223679761
18-01-21,1.477481,1.507677,1.433264,1.460225,1.460225,198506712
19-01-21,1.462382,1.490422,1.427872,1.431107,1.431107,161895135
20-01-21,1.432186,1.535717,1.406303,1.502285,1.502285,331080581
21-01-21,1.506599,1.528168,1.450519,1.455912,1.455912,169652856
22-01-21,1.455912,1.502285,1.444049,1.478559,1.478559,130832801
25-01-21,1.51307,1.522776,1.455912,1.462382,1.462382,115795953
26-01-21,1.461304,1.517383,1.44297,1.488265,1.488265,198946768
27-01-21,1.489344,1.517383,1.344831,1.397675,1.397675,227399180
28-01-21,1.370714,1.526011,1.337282,1.483951,1.483951,373164347
29-01-21,1.455912,1.521697,1.435421,1.454833,1.454833,187458242
01-02-21,1.482873,1.482873,1.448362,1.448362,1.448362,71120346
02-02-21,1.462382,1.490422,1.444049,1.448362,1.448362,141837579
03-02-21,1.460225,1.474245,1.448362,1.452676,1.452676,66420523
04-02-21,1.461304,1.597189,1.455912,1.597189,1.597189,301919915
05-02-21,1.601503,1.611209,1.501207,1.510913,1.510913,267664526
08-02-21,1.526011,1.555129,1.479638,1.480716,1.480716,146250342
09-02-21,1.480716,1.495814,1.462382,1.467775,1.467775,74325380
10-02-21,1.476402,1.495814,1.463461,1.474245,1.474245,81338479
11-02-21,1.476402,1.509834,1.461304,1.461304,1.461304,103697053
12-02-21,1.460225,1.460225,1.416009,1.433264,1.433264,74308078
15-02-21,1.445127,1.518462,1.42895,1.497971,1.497971,174605355
16-02-21,1.509834,1.515227,1.434343,1.460225,1.460225,115318732
17-02-21,1.466696,1.58964,1.451598,1.554051,1.554051,382007028
18-02-21,1.601503,1.709348,1.601503,1.709348,1.709348,366604156
19-02-21,1.775134,1.879744,1.725525,1.879744,1.879744,175367224
22-02-21,1.93151,2.031806,1.692093,1.702877,1.702877,493894607
23-02-21,1.691014,1.691014,1.536796,1.569149,1.569149,309282161
24-02-21,1.530325,1.702877,1.472088,1.609052,1.609052,239940102
