Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,3.163564,3.204065,3.159064,3.168064,2.755376,67203506
05-01-21,3.141063,3.199564,3.060062,3.105063,2.700582,148089939
06-01-21,3.145563,3.159064,3.096062,3.150063,2.73972,128565271
07-01-21,3.177064,3.208565,3.159064,3.204065,2.786688,116634660
08-01-21,3.240065,3.316567,3.235565,3.316567,2.884534,147727564
11-01-21,3.289566,3.312067,3.204065,3.235565,2.814084,86761169
12-01-21,3.258066,3.267066,3.195064,3.199564,2.782773,63960256
13-01-21,3.217565,3.231065,3.163564,3.195064,2.778859,73192616
14-01-21,3.195064,3.226565,3.159064,3.172564,2.75929,60997643
15-01-21,3.150063,3.168064,3.060062,3.078062,2.677099,82487998
18-01-21,3.064562,3.136563,3.010561,3.100562,2.696667,102062080
19-01-21,3.132063,3.177064,3.114063,3.136563,2.727979,71537389
20-01-21,3.141063,3.145563,3.064562,3.087062,2.684926,63784942
21-01-21,3.091562,3.163564,3.082562,3.105063,2.700582,121275135
22-01-21,3.069062,3.096062,2.97906,2.99706,2.606648,124594243
25-01-21,3.015061,3.024061,2.920559,2.934059,2.551854,87585332
26-01-21,2.920559,2.95656,2.884558,2.916059,2.536199,144658809
27-01-21,2.898058,2.925059,2.785556,2.812557,2.446179,123272199
28-01-21,2.781056,2.835057,2.745055,2.835057,2.465748,163142400
29-01-21,2.790056,2.817057,2.758556,2.763056,2.403127,124376467
01-02-21,2.781056,2.844057,2.758556,2.790056,2.42661,134798560
02-02-21,2.817057,2.862058,2.812557,2.835057,2.465748,101639782
03-02-21,2.844057,2.925059,2.844057,2.916059,2.536199,116761669
04-02-21,2.916059,2.929559,2.866558,2.889058,2.512715,114417130
05-02-21,2.911559,2.952059,2.871058,2.871058,2.49706,95800605
08-02-21,2.893558,2.907059,2.835057,2.853057,2.481404,94470617
09-02-21,2.857558,2.929559,2.848557,2.893558,2.516629,168518371
10-02-21,2.938559,2.95656,2.875558,2.907059,2.528371,113389395
11-02-21,2.902558,2.911559,2.866558,2.871058,2.49706,45185364
12-02-21,2.862058,2.938559,2.857558,2.925059,2.544026,143214431
15-02-21,2.947559,2.96106,2.907059,2.938559,2.555768,109006077
16-02-21,2.952059,2.96556,2.848557,2.880058,2.504887,154449950
17-02-21,2.889058,2.907059,2.803556,2.812557,2.446179,188385056
18-02-21,2.826057,2.830557,2.695554,2.718055,2.363988,271223430
19-02-21,2.709055,2.749555,2.682054,2.727055,2.371816,196804328
22-02-21,2.740555,2.740555,2.691054,2.718055,2.363988,155648017
23-02-21,2.731555,2.740555,2.664054,2.664054,2.317021,126333205
24-02-21,2.632553,2.659554,2.565052,2.565052,2.230916,187437885
25-02-21,2.596552,2.605552,2.538051,2.592052,2.254398,114513850
26-02-21,2.520051,2.578552,2.520051,2.578552,2.242657,162212341
01-03-21,2.592052,2.646053,2.574052,2.646053,2.301365,118405273
02-03-21,2.632553,2.659554,2.601052,2.605552,2.26614,121603815
03-03-21,2.623553,2.691054,2.596552,2.601052,2.262226,138074158
04-03-21,2.587552,2.659554,2.574052,2.659554,2.313107,150261922
05-03-21,2.641553,2.682054,2.619053,2.673054,2.324849,113797031
08-03-21,2.677554,2.677554,2.578552,2.583052,2.246571,264601429
09-03-21,2.601052,2.637053,2.592052,2.614553,2.273968,107190536
10-03-21,2.605552,2.650553,2.605552,2.641553,2.297451,89776832
11-03-21,2.659554,2.668554,2.592052,2.596552,2.258312,107481741
12-03-21,2.619053,2.655053,2.601052,2.632553,2.289624,150247113
15-03-21,2.623553,2.641553,2.592052,2.601052,2.262226,86681475
16-03-21,2.605552,2.641553,2.601052,2.619053,2.277882,89249069
