Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,21.120001,21.5,21.040001,21.219999,19.642229,10353058
05-01-21,21,21.6,20.860001,21,19.438587,15345270
06-01-21,21.24,21.34,20.860001,20.98,19.420073,11481406
07-01-21,21.200001,21.26,20.879999,21.18,19.605204,7609127
08-01-21,21.219999,21.52,21.120001,21.48,19.882896,9849174
11-01-21,21.48,22.120001,21.34,21.82,20.197617,19592972
12-01-21,21.84,22.24,21.719999,22.18,20.530849,9886265
13-01-21,22.26,22.4,21.860001,22.040001,20.40126,6695651
14-01-21,22.1,22.18,21.84,22.120001,20.475311,6456550
15-01-21,21.98,22.08,21.4,21.52,19.919924,7954818
18-01-21,21.42,22.059999,20.959999,22.040001,20.40126,8196010
19-01-21,22.26,22.440001,22.08,22.16,20.512337,7409132
20-01-21,22.32,22.620001,21.719999,22.620001,20.938133,11527529
21-01-21,22.68,22.959999,22.059999,22.120001,20.475311,9038675
22-01-21,21.940001,22.139999,21.6,22,20.364235,8710119
25-01-21,22.16,22.299999,21.620001,21.66,20.049515,5821588
26-01-21,21.6,21.879999,21.42,21.48,19.882896,6914112
27-01-21,21.440001,21.52,20.42,20.42,18.901711,11036806
28-01-21,20.24,20.959999,20.120001,20.68,19.14238,11387003
29-01-21,20.34,20.9,20.139999,20.200001,18.698071,12646558
01-02-21,20.4,20.6,20.18,20.440001,18.920225,6504957
02-02-21,20.58,20.92,20.540001,20.6,19.068329,10332655
03-02-21,20.700001,21.48,20.700001,21.440001,19.845871,14474830
04-02-21,21.4,21.9,21.34,21.559999,19.956949,11110363
05-02-21,21.620001,21.799999,21.26,21.26,19.679253,7187571
08-02-21,21.42,21.700001,21,21.58,19.975462,8506060
09-02-21,21.5,22.360001,21.5,21.940001,20.308695,15477687
10-02-21,22.040001,22.299999,21.799999,22.299999,20.641928,8267639
11-02-21,22.4,22.879999,22.379999,22.68,20.993673,12932030
12-02-21,22.540001,23.18,22.379999,22.700001,21.012188,14806472
15-02-21,22.9,23.040001,22.42,22.559999,20.882597,9903628
16-02-21,22.700001,23.26,22.120001,22.34,20.678953,25163786
17-02-21,22.4,22.780001,21.9,21.959999,20.327208,16606433
18-02-21,22.059999,22.440001,21.959999,22.42,20.753004,13513342
19-02-21,22.299999,22.719999,22.280001,22.48,20.808542,14438068
22-02-21,22.559999,23.200001,22.5,23.139999,21.41947,22739686
23-02-21,23.200001,23.379999,22.48,22.48,20.808542,15096785
24-02-21,22.299999,22.620001,21.98,22.16,20.512337,11726048
25-02-21,22.6,22.719999,21.940001,22.6,20.919622,12706016
26-02-21,21.92,22.5,21.58,21.58,19.975462,13526734
01-03-21,21.84,23.02,21.82,23.02,21.308393,11773196
02-03-21,23,23.360001,22.799999,22.98,21.271366,7974587
03-03-21,23.059999,23.5,22.66,22.98,21.271366,9218131
04-03-21,22.860001,23.08,22.74,22.9,21.197317,6312080
05-03-21,22.82,23.32,22.780001,23.08,21.363932,6736534
08-03-21,23.120001,23.18,22.459999,22.559999,20.882597,7686267
09-03-21,22.82,23.860001,22.82,23.26,21.530548,19321512
10-03-21,23.24,23.459999,23.059999,23.440001,21.697165,6268232
11-03-21,23.5,23.76,23.280001,23.360001,21.623116,7373116
12-03-21,23.299999,23.440001,23.059999,23.280001,21.549061,5042125
15-03-21,23.24,23.48,23.120001,23.280001,21.549061,5251407
16-03-21,23.299999,23.639999,23,23.48,21.73419,9591258
17-03-21,23.559999,25.48,23.48,24.08,22.289579,38096344
18-03-21,24.379999,24.620001,23.42,23.780001,22.011885,20168730
19-03-21,23.76,23.780001,22.92,22.940001,21.234341,11894187
22-03-21,21,21.5,20.66,20.66,19.123865,20593654
23-03-21,19,20.799999,18.709999,20.360001,18.846172,32226575
24-03-21,20.540001,21,20.16,20.32,18.809147,20423027
25-03-21,20.5,20.860001,20.02,20.02,18.531454,15931217
26-03-21,20.280001,20.360001,19.1,19.25,17.818705,21348850
29-03-21,19.24,19.67,19.1,19.1,17.679857,16558139
30-03-21,19.120001,19.809999,19.030001,19.5,18.050116,21047780
31-03-21,19.42,19.629999,19.27,19.41,17.966808,13136844
01-04-21,19.52,20.219999,19.51,20.120001,18.624018,12151995
02-04-21,20.299999,20.360001,19.91,20.059999,18.568478,6853088
05-04-21,20.040001,20.200001,19.98,20.059999,18.568478,5025994
06-04-21,20.08,20.219999,19.639999,19.65,18.188963,13416883
07-04-21,19.65,19.65,19.200001,19.43,17.985319,13643842
08-04-21,19.51,19.790001,19.51,19.549999,18.096399,11186724
09-04-21,19.5,19.5,18.9,19.25,17.818705,11941815
12-04-21,19.25,19.32,18.559999,18.559999,17.180006,15989572
13-04-21,18.620001,18.719999,18.18,18.51,17.133726,13257168
14-04-21,18.110001,18.610001,18.110001,18.610001,17.788486,12221647
15-04-21,18.67,18.93,18.34,18.540001,17.721579,17076512
16-04-21,18.43,18.5,18.18,18.18,17.37747,11348760
19-04-21,18.190001,18.34,17.809999,18.02,17.224533,10841448
20-04-21,18.049999,18.209999,17.790001,17.860001,17.071596,9207416
21-04-21,17.85,17.879999,17.059999,17.09,16.335585,16582715
22-04-21,16.85,17.26,16.700001,17.209999,16.450287,24769252
26-04-21,17.219999,17.91,17.219999,17.91,17.119389,18097574
27-04-21,17.950001,18.469999,17.950001,18.27,17.463495,17776899
28-04-21,18.209999,18.59,17.950001,18.040001,17.24365,12996249
29-04-21,18.1,18.639999,18.1,18.52,17.702461,14512059
30-04-21,18.459999,18.559999,18.24,18.309999,17.50173,11512967
03-05-21,18.32,18.879999,18.280001,18.870001,18.03701,10332097
04-05-21,18.93,19.24,18.59,18.620001,17.798046,22673416
05-05-21,18.66,18.77,18.469999,18.639999,17.817163,11759783
06-05-21,18.67,18.860001,18.57,18.690001,17.864956,14060816
07-05-21,18.809999,18.959999,18.59,18.889999,18.056126,24024363
10-05-21,18.940001,19.35,18.940001,19.35,18.495821,17966648
11-05-21,19.1,19.25,19.01,19.190001,18.342884,13641644
12-05-21,19.049999,19.209999,19.049999,19.08,18.23774,3676887
17-05-21,19.1,19.440001,19.1,19.23,18.381117,15185705
18-05-21,19.4,19.52,19.280001,19.360001,18.505381,14588420
20-05-21,19.219999,19.24,19.030001,19.09,18.247299,14927703
21-05-21,19.18,19.290001,19.1,19.15,18.304649,11177013
24-05-21,19.190001,19.190001,18.870001,18.959999,18.123037,11252319
25-05-21,19.040001,19.280001,18.370001,18.370001,17.559082,22113434
26-05-21,18.57,18.700001,18.26,18.67,17.845839,14675637
27-05-21,18.59,18.719999,18.209999,18.209999,17.406143,18541385
28-05-21,18.200001,18.6,18.200001,18.58,17.759811,15547777
31-05-21,18.58,18.74,18.469999,18.58,17.759811,9032342
01-06-21,18.66,18.950001,18.65,18.889999,18.056126,13779344
02-06-21,18.719999,18.83,18.620001,18.700001,17.874516,11115882
03-06-21,18.68,18.99,18.610001,18.9,18.065683,16138443
04-06-21,18.91,19.08,18.83,18.92,18.084803,11153232
07-06-21,18.92,19.27,18.91,19.200001,18.352444,11545534
08-06-21,19.18,19.360001,19.049999,19.25,18.400236,18208926
09-06-21,19.27,19.389999,19.219999,19.290001,18.438469,13431113
