Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,15.6,16.870001,15.57,16.540001,16.540001,64489623
05-01-21,16.450001,16.93,15.83,15.88,15.88,37670378
06-01-21,15.99,16.16,15.69,15.73,15.73,13418968
07-01-21,15.73,16.030001,15.64,15.91,15.91,22253759
08-01-21,15.95,17.02,15.79,16.41,16.41,73386734
11-01-21,16.35,17.440001,16.209999,17.280001,17.280001,65964574
12-01-21,17.629999,17.809999,17.15,17.33,17.33,23145742
13-01-21,17.379999,17.48,16.52,16.52,16.52,30435379
14-01-21,16.58,16.65,16.25,16.27,16.27,15921801
15-01-21,16.1,16.73,16.07,16.42,16.42,31978704
18-01-21,16.4,16.620001,16.309999,16.450001,16.450001,14108402
19-01-21,16.440001,16.790001,16.32,16.4,16.4,14446922
20-01-21,16.469999,16.540001,16.25,16.26,16.26,8292433
21-01-21,16.27,16.549999,16.26,16.280001,16.280001,13651484
22-01-21,16.26,16.41,15.96,15.98,15.98,15891210
25-01-21,16.07,16.58,16.049999,16.209999,16.209999,33195407
26-01-21,16.219999,16.360001,16.02,16.059999,16.059999,16038265
27-01-21,16.08,16.16,15.27,15.27,15.27,11452385
28-01-21,14.85,15.65,14.52,15.53,15.53,14265064
29-01-21,15.3,15.72,15,15.45,15.45,11828888
01-02-21,15.67,16.34,15.61,16.1,16.1,25474929
02-02-21,16.16,16.23,15.69,15.69,15.69,12499643
03-02-21,15.73,16.209999,15.73,16,16,14062407
04-02-21,16.049999,16.07,15.67,15.68,15.68,9292658
05-02-21,15.85,16.4,15.8,16.08,16.08,29628252
08-02-21,16.360001,16.459999,16.02,16.389999,16.389999,21301871
09-02-21,16.5,17.18,16.26,16.459999,16.459999,47545253
10-02-21,16.52,17.16,16.27,16.959999,16.959999,33942342
11-02-21,16.889999,18.24,16.700001,17.99,17.99,67516295
12-02-21,17.99,18.559999,17.9,18.32,18.32,40221075
15-02-21,18.49,20.139999,18.469999,19.75,19.75,56055459
16-02-21,19.889999,21,19.01,20.1,20.1,55420921
17-02-21,20.32,20.6,19.280001,19.389999,19.389999,31914802
18-02-21,19.360001,20.48,19.33,20.48,20.48,36806671
19-02-21,19.790001,19.99,19.42,19.58,19.58,22507971
22-02-21,19.66,19.98,18.4,18.85,18.85,18443244
23-02-21,19,19.01,17.709999,17.9,17.9,22748911
24-02-21,17.65,18.34,17.52,17.75,17.75,18223501
25-02-21,18.299999,18.299999,16.84,17.049999,17.049999,15677867
26-02-21,16.379999,17.25,16.379999,17.129999,17.129999,13735967
01-03-21,17.35,17.76,17.219999,17.76,17.76,13605167
02-03-21,17,17.219999,16.639999,16.76,16.76,22494842
03-03-21,16.83,17.040001,16.209999,16.35,16.35,16185115
04-03-21,16.35,16.459999,16.08,16.08,16.08,16976598
05-03-21,16.030001,16.299999,15.92,16.110001,16.110001,15608856
08-03-21,16.27,16.469999,16.059999,16.15,16.15,20542038
09-03-21,16.280001,16.309999,15.91,15.92,15.92,11405509
10-03-21,15.95,16.17,15.89,16.17,16.17,12749903
11-03-21,16.25,16.370001,15.69,15.78,15.78,19803339
12-03-21,15.83,15.9,15.65,15.7,15.7,7811989
15-03-21,15.67,15.86,15.38,15.43,15.43,8317855
16-03-21,15.48,15.88,15.45,15.61,15.61,14978109
17-03-21,15.65,15.67,15.08,15.09,15.09,13283250
18-03-21,15.12,15.36,14.89,15,15,9630991
19-03-21,15.03,15.03,14.41,14.56,14.56,11011471
22-03-21,13.6,13.83,13.11,13.11,13.11,8841529
23-03-21,12.5,13.68,11.8,13.14,13.14,22229695
24-03-21,13.24,13.6,13.15,13.32,13.32,14481403
25-03-21,13.36,14.5,13.36,13.84,13.84,33643313
26-03-21,13.99,14.13,13.24,13.51,13.51,13337798
29-03-21,13.55,14.17,13.42,14.05,14.05,11938240
30-03-21,14.05,14.11,13.52,13.8,13.8,11181534
31-03-21,13.84,14.17,13.7,13.95,13.95,20149350
01-04-21,14.03,14.47,13.99,14.36,14.36,15917173
02-04-21,14.47,15.29,14.41,15,15,22321797
05-04-21,15,15.48,14.99,15.28,15.28,13332775
06-04-21,15.26,15.77,14.91,15.05,15.05,28969420
07-04-21,15.1,15.25,14.67,14.91,14.91,12313991
08-04-21,14.97,15.07,14.75,14.75,14.75,9799856
09-04-21,14.75,14.88,14.15,14.58,14.58,10528772
12-04-21,14.58,14.58,14.02,14.02,14.02,6128463
13-04-21,14.08,14.48,13.93,14.12,14.12,13374925
14-04-21,14.22,14.67,14.22,14.61,14.61,8994009
15-04-21,14.67,14.7,14.15,14.36,14.36,9440849
16-04-21,14.29,14.67,14.28,14.46,14.46,8413541
19-04-21,14.49,14.86,13.97,14.01,14.01,12980692
20-04-21,14.04,14.14,13.55,13.58,13.58,8714020
21-04-21,13.55,13.68,12.81,13,13,8842877
22-04-21,12.85,13.65,12.74,13.5,13.5,10234588
26-04-21,13.49,13.65,13.4,13.65,13.65,7208363
27-04-21,13.72,13.91,13.56,13.77,13.77,9144507
