Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,5.81,5.91,5.8,5.87,5.494145,128320958
05-01-21,5.84,6.03,5.82,5.86,5.484786,227826243
06-01-21,5.91,6.01,5.88,5.91,5.531584,165037474
07-01-21,5.92,5.96,5.86,5.93,5.550303,93898891
08-01-21,6.19,6.22,6.1,6.16,5.765576,151220463
11-01-21,6.13,6.31,6.13,6.24,5.840454,155762513
12-01-21,6.28,6.44,6.19,6.4,5.990209,142910167
13-01-21,6.41,6.48,6.35,6.38,5.97149,121595251
14-01-21,6.39,6.5,6.39,6.43,6.018288,123561551
15-01-21,6.39,6.72,6.37,6.61,6.186763,219589694
18-01-21,6.72,7.27,6.71,7.26,6.795144,312059254
19-01-21,7.33,7.45,7.04,7.11,6.654748,231491167
20-01-21,7.14,7.43,7.04,7.35,6.879381,189555573
21-01-21,7.36,7.4,7.05,7.12,6.664107,124799216
22-01-21,7.06,7.13,6.89,6.94,6.495633,126409411
25-01-21,7,7.15,6.76,7.01,6.561151,220037274
26-01-21,6.96,6.99,6.81,6.9,6.458194,145482581
27-01-21,6.9,7.07,6.5,6.5,6.083807,199849481
28-01-21,6.42,6.82,6.27,6.78,6.345878,222426492
29-01-21,6.51,6.82,6.51,6.69,6.261641,147290508
01-02-21,6.73,6.8,6.57,6.7,6.271,132447659
02-02-21,6.77,7.03,6.75,6.98,6.533072,161611765
03-02-21,7.02,7.05,6.8,6.88,6.439475,124136732
04-02-21,6.88,7.13,6.87,6.93,6.486273,183722107
05-02-21,6.99,7,6.85,6.94,6.495633,95166426
08-02-21,6.99,7.16,6.95,7.13,6.673468,148009596
09-02-21,7.13,7.13,6.91,7.02,6.570511,135217187
10-02-21,7.06,7.21,7.02,7.03,6.579871,133077065
11-02-21,7.03,7.11,6.99,7.04,6.58923,59750298
12-02-21,6.99,7.07,6.93,6.93,6.486273,56444115
15-02-21,6.97,7,6.9,6.94,6.495633,45489949
16-02-21,6.96,7.11,6.72,6.72,6.28972,155205967
17-02-21,6.75,6.83,6.64,6.8,6.364597,131824876
18-02-21,6.8,6.92,6.68,6.75,6.317799,122837760
19-02-21,6.74,6.84,6.7,6.82,6.383317,76252736
22-02-21,6.83,7.03,6.79,6.81,6.373957,116664175
23-02-21,6.86,6.91,6.59,6.64,6.214842,121259951
24-02-21,6.53,6.73,6.39,6.43,6.018288,137585825
25-02-21,6.57,6.68,6.35,6.54,6.121245,164385997
26-02-21,6.35,6.52,6.32,6.5,6.083807,121687668
01-03-21,6.56,6.9,6.56,6.9,6.458194,130314823
02-03-21,6.85,7.08,6.76,6.83,6.392676,228450693
03-03-21,6.92,7.26,6.91,7.06,6.607949,261389574
04-03-21,7.07,7.38,7.03,7.36,6.888741,179260091
05-03-21,7.33,7.48,7.23,7.3,6.832582,146191333
08-03-21,7.33,7.42,7.22,7.26,6.795144,182710581
09-03-21,7.33,7.4,7.27,7.38,6.90746,134782349
10-03-21,7.37,7.67,7.37,7.67,7.178891,156161025
11-03-21,7.69,7.74,7.45,7.48,7.001057,91009268
12-03-21,7.46,7.67,7.45,7.64,7.150812,115799425
15-03-21,7.63,7.73,7.51,7.59,7.104014,112795195
16-03-21,7.58,7.85,7.58,7.83,7.328647,121206847
17-03-21,7.82,7.85,7.56,7.61,7.122733,104132513
18-03-21,7.64,7.73,7.48,7.59,7.104014,140675381
