Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,3.93,3.97,3.9,3.92,3.92,68697945
05-01-21,3.91,3.99,3.88,3.94,3.94,156860885
06-01-21,3.96,4.01,3.93,4.01,4.01,146630626
07-01-21,4.03,4.07,3.93,3.95,3.95,184725089
08-01-21,3.94,3.98,3.89,3.97,3.97,95349865
11-01-21,3.98,4.04,3.89,3.93,3.93,147982997
12-01-21,3.94,3.97,3.91,3.95,3.95,92728804
13-01-21,3.96,3.98,3.92,3.96,3.96,116007117
14-01-21,3.96,3.97,3.82,3.83,3.83,90858067
15-01-21,3.76,3.82,3.72,3.76,3.76,86663443
18-01-21,3.77,3.86,3.73,3.82,3.82,107577030
19-01-21,3.84,3.89,3.81,3.84,3.84,94778002
20-01-21,3.84,3.84,3.78,3.81,3.81,66026200
21-01-21,3.8,3.92,3.79,3.87,3.87,165100469
22-01-21,3.83,3.86,3.75,3.8,3.8,121948400
25-01-21,3.83,4.12,3.81,4.03,4.03,424771870
26-01-21,4.05,4.05,3.95,3.95,3.95,170997160
27-01-21,3.95,4.17,3.86,3.92,3.92,549234411
28-01-21,3.85,3.92,3.66,3.84,3.84,407863453
29-01-21,3.76,3.86,3.73,3.79,3.79,226229352
01-02-21,3.82,4.16,3.8,4.14,4.14,364216083
02-02-21,4.14,4.18,3.99,4.01,4.01,210700841
03-02-21,4.05,4.27,4.04,4.1,4.1,256682339
04-02-21,4.11,4.17,4.06,4.06,4.06,186017859
05-02-21,4.08,4.23,4.06,4.13,4.13,198688132
08-02-21,4.19,4.32,4.14,4.3,4.3,289783281
09-02-21,4.31,4.32,4.13,4.14,4.14,165530108
10-02-21,4.17,4.26,4.11,4.21,4.21,208545791
11-02-21,4.2,4.25,4.11,4.13,4.13,110383342
12-02-21,4.1,4.11,3.97,4.02,4.02,137563577
15-02-21,4.07,4.11,4.05,4.07,4.07,90526811
16-02-21,4.09,4.14,3.95,3.99,3.99,168716802
17-02-21,4.01,4.16,3.97,4.1,4.1,208397446
18-02-21,4.13,4.2,4.07,4.07,4.07,282529849
19-02-21,4.02,4.06,3.96,4,4,178023302
22-02-21,4.02,4.17,4.02,4.12,4.12,221155416
23-02-21,4.13,4.15,3.95,3.98,3.98,201379317
24-02-21,3.97,4.13,3.93,4,4,313948911
25-02-21,4.07,4.09,3.8,3.82,3.82,185667330
26-02-21,3.68,3.74,3.64,3.72,3.72,112624207
01-03-21,3.77,3.93,3.77,3.92,3.92,129932706
