Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,5.02,5.05,4.98,4.99,4.99,87869935
05-01-21,4.97,5.33,4.94,5.27,5.27,484908975
06-01-21,5.32,5.35,5.15,5.17,5.17,245537704
07-01-21,5.21,5.29,5.18,5.26,5.26,164072578
08-01-21,5.28,5.37,5.21,5.26,5.26,193330270
11-01-21,5.26,5.37,5.17,5.24,5.24,194498885
12-01-21,5.27,5.36,5.22,5.28,5.28,216461695
13-01-21,5.31,5.35,5.16,5.19,5.19,225361344
14-01-21,5.2,5.24,5.07,5.08,5.08,174730351
15-01-21,5.05,5.12,4.99,5.08,5.08,115587240
18-01-21,5.07,5.14,5.01,5.13,5.13,118461095
19-01-21,5.15,5.26,5.11,5.15,5.15,171106637
20-01-21,5.16,5.22,5.13,5.18,5.18,108851991
21-01-21,5.19,5.23,5.06,5.09,5.09,104741278
22-01-21,5.06,5.14,5,5.13,5.13,120433092
25-01-21,5.19,5.31,5.15,5.25,5.25,288397330
26-01-21,5.23,5.26,5.07,5.08,5.08,147137773
27-01-21,5.08,5.16,4.87,4.87,4.87,154614163
28-01-21,4.82,5.05,4.76,5.04,5.04,147229478
29-01-21,4.95,5.12,4.94,5,5,132308339
01-02-21,5.04,5.14,5.04,5.08,5.08,94641308
02-02-21,5.13,5.18,5.04,5.06,5.06,130835261
03-02-21,5.08,5.1,5.03,5.08,5.08,103599001
04-02-21,5.08,5.21,5.08,5.12,5.12,150844153
05-02-21,5.15,5.28,5.09,5.14,5.14,165769005
08-02-21,5.19,5.25,5.07,5.19,5.19,217530942
09-02-21,5.21,5.44,5.19,5.29,5.29,297275830
10-02-21,5.33,5.36,5.07,5.12,5.12,262504719
11-02-21,5.12,5.22,5.07,5.09,5.09,215583304
12-02-21,5.08,5.09,4.97,4.98,4.98,144137475
15-02-21,5.03,5.18,4.96,5.13,5.13,230879892
16-02-21,5.14,5.38,5.06,5.1,5.1,565342768
17-02-21,5.14,5.17,5.02,5.05,5.05,185147455
18-02-21,5.06,5.21,5.06,5.11,5.11,231760990
19-02-21,5.15,5.29,5.15,5.19,5.19,254907801
22-02-21,5.21,5.22,5.09,5.12,5.12,130368104
23-02-21,5.14,5.62,5.13,5.43,5.43,822878131
24-02-21,5.38,5.43,5.11,5.16,5.16,387983457
25-02-21,5.24,5.44,5.17,5.28,5.28,416576290
26-02-21,5.16,5.33,5.1,5.26,5.26,249787820
01-03-21,5.33,5.42,5.25,5.38,5.38,200187497
02-03-21,5.35,5.66,5.34,5.54,5.54,362623893
03-03-21,5.7,5.82,5.59,5.73,5.73,372971063
