Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,11.51,11.87,11.49,11.75,10.343087,13952289
05-01-21,11.67,11.91,11.43,11.57,10.18464,17570979
06-01-21,11.63,11.67,11.35,11.52,10.140628,13511585
07-01-21,11.56,11.69,11.45,11.62,10.228653,14544398
08-01-21,11.65,11.71,11.54,11.7,10.299074,10117520
11-01-21,11.66,11.74,11.55,11.7,10.299074,18223953
12-01-21,11.81,11.85,11.61,11.7,10.299074,8957556
13-01-21,11.73,11.83,11.58,11.68,10.281469,15835039
14-01-21,11.68,11.75,11.42,11.5,10.123022,18314619
15-01-21,11.45,11.45,11.1,11.2,9.858944,11773615
18-01-21,11.26,11.35,10.97,11.31,9.955771,16064658
19-01-21,11.43,11.45,11.18,11.23,9.885351,12807523
20-01-21,11.27,11.43,11.1,11.41,10.043797,12968869
21-01-21,11.45,11.59,11.26,11.29,9.938167,13692787
22-01-21,11.28,11.29,10.97,11.09,9.762115,15754558
25-01-21,11.19,11.23,10.96,11.07,9.744509,9062304
26-01-21,10.97,11.32,10.89,11.19,9.850141,16585835
27-01-21,11.15,11.2,10.74,10.78,9.489232,15452401
28-01-21,10.69,10.72,10.52,10.68,9.401206,22843994
29-01-21,10.62,10.74,10.44,10.53,9.269167,22240050
01-02-21,10.62,10.8,10.47,10.74,9.454022,15086100
02-02-21,10.81,10.92,10.69,10.89,9.586062,11019659
03-02-21,10.93,11.26,10.85,11.26,9.911758,11646568
04-02-21,11.26,11.31,11.1,11.16,9.823732,9338236
05-02-21,11.23,11.33,11.09,11.19,9.850141,12135593
08-02-21,11.25,11.3,10.98,11.1,9.770918,14492620
09-02-21,11.1,11.35,11.05,11.24,9.894154,13711256
10-02-21,11.35,11.35,11.12,11.34,9.98218,10987466
11-02-21,11.34,11.54,11.32,11.45,10.079009,14589596
12-02-21,11.41,11.47,11.21,11.26,9.911758,9077305
15-02-21,11.34,11.44,11.27,11.35,9.990983,7570429
16-02-21,11.39,11.48,11.01,11.16,9.823732,19797012
17-02-21,11.17,11.19,10.85,11.05,9.726904,16923029
18-02-21,11.1,11.17,10.84,10.97,9.656483,19954093
19-02-21,10.99,11.1,10.88,11.07,9.744509,11016052
22-02-21,11.14,11.36,11.06,11.28,9.929364,23476993
23-02-21,11.28,11.46,11.05,11.27,9.920562,35828402
24-02-21,11.2,11.53,10.95,11.15,9.81493,42906490
25-02-21,11.29,11.37,10.89,11,9.682891,19502229
26-02-21,10.74,10.85,10.48,10.48,9.225153,28472001
01-03-21,10.62,10.75,10.49,10.74,9.454022,38925800
02-03-21,10.75,10.84,10.54,10.67,9.392404,19945826
03-03-21,10.74,10.86,10.53,10.56,9.295575,20694347
04-03-21,10.54,10.72,10.48,10.68,9.401206,19631651
05-03-21,10.63,11.14,10.61,10.91,9.603667,28578799
08-03-21,10.93,10.97,10.64,10.75,9.462825,15537268
09-03-21,10.83,10.97,10.62,10.92,9.612471,24894176
10-03-21,10.9,10.96,10.74,10.86,9.559653,12527309
11-03-21,10.92,10.96,10.65,10.65,9.374798,15637434
12-03-21,10.66,10.66,10.52,10.56,9.295575,12130170
15-03-21,10.56,10.56,10.43,10.44,9.189943,14753927
16-03-21,10.47,10.49,10.41,10.43,9.181141,14095031
17-03-21,10.45,10.68,10.21,10.21,8.987483,27663146
18-03-21,10.25,10.59,10.21,10.42,9.172338,25293763
19-03-21,10.38,10.38,9.99,9.99,8.793825,17469577
22-03-21,9.34,9.34,9,9,7.922366,9047388
23-03-21,8.18,8.74,8.1,8.44,7.429418,77882418
24-03-21,8.54,8.93,8.53,8.75,7.702299,36637028
25-03-21,8.8,9.07,8.77,8.86,7.799128,44331666
