Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,7.33,7.46,7.32,7.37,7.078434,157861285
05-01-21,7.36,7.4,7.21,7.27,6.98239,190124214
06-01-21,7.32,7.36,7.26,7.28,6.991995,108807593
07-01-21,7.32,7.37,7.27,7.37,7.078434,121111329
08-01-21,7.42,7.52,7.4,7.43,7.136061,190401701
11-01-21,7.41,7.45,7.26,7.3,7.011204,128892675
12-01-21,7.43,7.68,7.43,7.62,7.318544,412506136
13-01-21,7.77,7.99,7.72,7.98,7.664302,369787382
14-01-21,7.97,7.97,7.69,7.72,7.414588,140443709
15-01-21,7.66,8.07,7.64,7.82,7.510632,340152199
18-01-21,7.83,7.84,7.68,7.78,7.472215,151280394
19-01-21,7.85,8.21,7.85,7.94,7.625885,365604111
20-01-21,7.97,8.09,7.87,8.07,7.750741,136376283
21-01-21,8.16,8.17,7.89,7.91,7.597071,122656497
22-01-21,7.88,7.9,7.71,7.81,7.501028,109248396
25-01-21,7.85,7.88,7.69,7.73,7.424193,97758913
26-01-21,7.68,7.76,7.62,7.65,7.347357,111009053
27-01-21,7.64,7.75,7.29,7.33,7.040017,166015949
28-01-21,7.25,7.41,7.18,7.38,7.088039,213422635
29-01-21,7.26,7.36,7.22,7.23,6.943973,157643631
01-02-21,7.29,7.46,7.26,7.39,7.097643,131037698
02-02-21,7.6,7.63,7.48,7.56,7.260918,155118511
03-02-21,7.6,7.62,7.46,7.6,7.299335,84295078
04-02-21,7.61,7.86,7.57,7.71,7.404984,222370287
05-02-21,7.75,7.9,7.64,7.65,7.347357,182425244
08-02-21,7.69,7.73,7.52,7.62,7.318544,119137685
09-02-21,7.7,7.86,7.68,7.76,7.453006,188052224
10-02-21,7.79,7.79,7.6,7.7,7.395379,85108274
11-02-21,7.69,7.87,7.62,7.76,7.453006,211925314
12-02-21,7.73,7.75,7.59,7.69,7.385775,113561880
15-02-21,7.75,7.8,7.68,7.71,7.404984,102280462
16-02-21,7.72,7.74,7.53,7.59,7.289731,119686448
17-02-21,7.59,7.6,7.47,7.5,7.203292,106674155
18-02-21,7.51,7.6,7.38,7.44,7.145665,119752825
