Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,12.97,12.97,12.67,12.68,12.68,59948726
05-01-21,12.64,12.8,12.52,12.58,12.58,90905126
06-01-21,12.73,12.81,12.63,12.68,12.68,63226286
07-01-21,12.74,12.76,12.62,12.68,12.68,63579108
08-01-21,12.75,12.96,12.73,12.84,12.84,115414243
11-01-21,12.79,12.9,12.65,12.7,12.7,68875132
12-01-21,12.77,12.99,12.75,12.85,12.85,93572479
13-01-21,12.97,13.28,12.97,13.26,13.26,212821900
14-01-21,13.45,13.67,13.12,13.24,13.24,204872119
15-01-21,13.14,13.39,13.06,13.28,13.28,126680673
18-01-21,13.23,13.27,13.03,13.24,13.24,85758145
19-01-21,13.32,13.63,13.32,13.49,13.49,136583768
20-01-21,13.52,13.52,13.2,13.26,13.26,63847022
21-01-21,13.31,13.45,13,13.03,13.03,80826627
22-01-21,13.02,13.11,12.81,12.93,12.93,60893846
25-01-21,13.01,13.08,12.7,12.7,12.7,49883614
26-01-21,12.64,12.75,12.46,12.63,12.63,56279923
27-01-21,12.6,12.65,11.95,11.95,11.95,60233746
28-01-21,11.84,12.34,11.59,12.33,12.33,104812968
29-01-21,12.02,12.34,12.02,12.11,12.11,78671542
01-02-21,12.22,12.25,12.01,12.01,12.01,57648479
02-02-21,12.08,12.32,12.06,12.06,12.06,83997753
03-02-21,12.13,12.22,12.06,12.15,12.15,57400171
04-02-21,12.18,12.29,12.14,12.2,12.2,56140686
05-02-21,12.3,12.47,12.16,12.16,12.16,78385058
08-02-21,12.28,12.29,12.02,12.15,12.15,51144469
09-02-21,12.18,12.34,12.13,12.17,12.17,64999932
10-02-21,12.23,12.3,12.14,12.21,12.21,58398059
11-02-21,12.22,12.26,12.14,12.15,12.15,39509847
12-02-21,12.1,12.16,11.97,12,12,37789731
15-02-21,12.14,12.43,12.13,12.4,12.4,105680942
16-02-21,12.43,12.46,12.1,12.18,12.18,63693207
17-02-21,12.2,12.43,12.12,12.2,12.2,66650589
18-02-21,12.24,12.63,12.23,12.27,12.27,128555316
19-02-21,12.28,12.31,12.12,12.3,12.3,70869252
22-02-21,12.33,12.77,12.32,12.64,12.64,151108372
23-02-21,12.73,13.34,12.47,13.02,13.02,275435657
24-02-21,12.9,13.15,12.76,12.83,12.83,178335216
25-02-21,13.13,13.45,12.9,13.39,13.39,209885565
26-02-21,13.04,13.61,13.02,13.49,13.49,186246942
01-03-21,13.68,13.92,13.58,13.8,13.8,129626666
02-03-21,13.81,15.07,13.75,14.81,14.81,365900822
03-03-21,14.88,15.13,14.61,14.92,14.92,270586148
04-03-21,14.9,15.17,14.66,14.72,14.72,183719811
05-03-21,14.66,14.91,14.51,14.78,14.78,90268550
08-03-21,14.8,14.88,14.58,14.65,14.65,88006183
09-03-21,14.8,15.11,14.71,15.02,15.02,123212060
10-03-21,15,15.02,14.84,14.9,14.9,57055126
11-03-21,14.98,15.01,14.43,14.75,14.75,64418383
12-03-21,14.75,14.8,14.5,14.5,14.5,46505356
15-03-21,14.46,14.83,14.44,14.69,14.69,67259844
16-03-21,14.75,14.87,14.63,14.74,14.74,64564306
17-03-21,14.74,14.92,14.53,14.55,14.55,89053995
18-03-21,14.55,14.62,13.91,13.94,13.94,94125427
19-03-21,13.9,14.27,13.57,13.79,13.79,109849869
22-03-21,13.07,13.07,12.42,12.42,12.42,56184034
23-03-21,11.67,12.57,11.2,12.21,12.21,90371189
24-03-21,12.25,13.01,12.21,13.01,13.01,66235579
25-03-21,13.02,13.25,12.63,12.67,12.67,77744751
26-03-21,12.85,12.98,12.35,12.66,12.66,54706550
29-03-21,12.66,12.66,12.37,12.48,12.48,39110064
30-03-21,12.45,12.86,12.39,12.71,12.71,71892151
31-03-21,12.74,12.76,12.54,12.75,12.75,47024024
01-04-21,12.75,13,12.75,13,13,41109308
02-04-21,13.06,13.1,12.83,12.91,12.91,28540861
05-04-21,12.85,13.08,12.84,13.06,13.06,36705937
06-04-21,13.03,13.14,12.76,12.76,12.76,45181430
07-04-21,12.76,13.06,12.76,12.85,12.85,68430416
08-04-21,12.88,12.91,12.52,12.53,12.53,49945436
09-04-21,12.49,12.53,11.91,11.94,11.94,57005894
12-04-21,11.93,12.09,11.62,11.97,11.97,47820220
13-04-21,11.81,11.95,11.55,11.93,11.93,61607452
14-04-21,12.03,12.19,11.87,11.93,11.93,37195640
15-04-21,11.94,12.07,11.77,11.9,11.9,52219794
16-04-21,11.83,11.99,11.65,11.65,11.65,41492637
19-04-21,11.68,11.79,11.55,11.6,11.6,38961272
20-04-21,11.62,11.64,11.15,11.16,11.16,41823258
21-04-21,11.23,11.23,10.72,10.9,10.9,53478815
22-04-21,10.86,11.27,10.72,11.27,11.27,55932157
26-04-21,11.31,11.82,11.27,11.73,11.73,95504271
27-04-21,11.69,12.16,11.57,11.93,11.93,96853375
28-04-21,11.93,12.09,11.85,12.01,12.01,56094929
29-04-21,12.05,12.07,11.89,11.98,11.98,31262763
30-04-21,11.96,12.33,11.95,12.23,12.23,77606295
03-05-21,12.33,12.95,12.3,12.92,12.92,99132973
04-05-21,13.08,13.09,12.62,12.62,12.62,103271085
05-05-21,12.68,12.71,12.45,12.6,12.6,58791952
06-05-21,12.63,12.97,12.6,12.93,12.93,90632137
07-05-21,13,13.05,12.81,12.99,12.99,50398132
10-05-21,13.16,13.39,13.14,13.37,13.37,92208091
11-05-21,13.16,13.49,13.15,13.35,13.35,76076922
12-05-21,13.34,13.43,13.07,13.39,13.39,55112831
17-05-21,13.54,13.56,13.35,13.36,13.36,55336345
18-05-21,13.33,13.44,13.14,13.35,13.35,77510704
20-05-21,13.27,13.71,13.25,13.58,13.58,113050879
21-05-21,13.67,13.7,13.46,13.49,13.49,52757367
24-05-21,13.56,13.62,13.46,13.47,13.47,40739844
25-05-21,13.52,13.55,12.9,12.9,12.9,71896025
26-05-21,13.06,13.17,12.72,13.05,13.05,87258248
27-05-21,13.05,13.48,13.02,13.05,13.05,170242128
28-05-21,13.06,13.13,12.78,12.98,12.98,86101770
31-05-21,13.06,13.38,13.06,13.32,13.32,119646255
01-06-21,13.3,13.53,13.1,13.49,13.49,96202188
02-06-21,13.38,13.77,13.36,13.65,13.65,111958445
03-06-21,13.68,14.09,13.61,13.99,13.99,183794740
04-06-21,14,14.09,13.86,14.04,14.04,112283118
07-06-21,14.19,14.37,14.15,14.28,14.28,94776157
08-06-21,14.28,14.5,14.18,14.48,14.48,84591280
09-06-21,14.5,14.68,14.37,14.56,14.56,121945024
10-06-21,14.6,14.65,14.39,14.43,14.43,85856532
11-06-21,14.47,14.65,14.41,14.59,14.59,108072568
14-06-21,14.65,14.84,14.54,14.62,14.62,113291395
15-06-21,14.71,14.74,14.39,14.49,14.49,82350133
16-06-21,14.51,14.68,14.31,14.32,14.32,99719097
17-06-21,14.3,14.78,14.28,14.66,14.66,135325908
18-06-21,14.69,14.77,14.38,14.54,14.54,103523663
21-06-21,14.62,14.65,14.43,14.59,14.59,101273521
22-06-21,14.66,14.92,14.64,14.76,14.76,112598201
23-06-21,14.81,14.85,14.5,14.56,14.56,86598322
24-06-21,14.64,14.65,14.5,14.61,14.61,69006382
25-06-21,14.63,14.63,14.28,14.28,14.28,53755640
28-06-21,14.3,14.39,13.79,13.86,13.86,70742415
29-06-21,13.77,13.8,13.28,13.39,13.39,88067148
30-06-21,13.5,13.56,13.31,13.37,13.37,72427976
01-07-21,13.41,13.75,13.37,13.75,13.75,95675692
02-07-21,13.74,13.85,13.63,13.74,13.74,102222132
05-07-21,13.75,14.14,13.73,14.12,14.12,86288171
06-07-21,14.13,14.19,13.87,13.88,13.88,58866520
07-07-21,13.9,13.98,13.75,13.85,13.85,58222072
08-07-21,13.82,13.87,13.61,13.66,13.66,55766294
09-07-21,13.69,13.73,13.52,13.57,13.57,55532983
12-07-21,13.61,13.64,13.24,13.24,13.24,68014647
13-07-21,13.26,13.31,13.03,13.1,13.1,45634250
14-07-21,13.14,13.27,13.08,13.08,13.08,46458147
16-07-21,13.12,13.21,13.01,13.08,13.08,44605834
19-07-21,12.97,12.98,12.73,12.73,12.73,17670594
26-07-21,12.74,12.78,12.3,12.31,12.31,51258820
27-07-21,12.31,12.6,12.24,12.55,12.55,90420698
28-07-21,12.57,12.66,12.45,12.56,12.56,53733465
29-07-21,12.65,12.91,12.63,12.78,12.78,49541199
30-07-21,12.7,12.84,12.65,12.73,12.73,38063021
02-08-21,12.78,12.99,12.7,12.87,12.87,45620690
03-08-21,12.86,12.94,12.62,12.63,12.63,53221050
04-08-21,12.67,12.78,12.61,12.63,12.63,62213130
05-08-21,12.56,12.8,12.5,12.76,12.76,51440621
06-08-21,12.79,12.96,12.73,12.83,12.83,65074633
09-08-21,12.84,12.95,12.78,12.79,12.79,55595330
10-08-21,12.82,12.87,12.61,12.63,12.63,52296398
11-08-21,12.53,12.64,12.16,12.21,12.21,74847273
12-08-21,12.3,12.47,12.26,12.43,12.43,51074677
13-08-21,12.45,12.47,12.36,12.42,12.42,43881054
16-08-21,12.5,12.69,12.5,12.61,12.61,70306219
17-08-21,12.54,12.57,12.4,12.44,12.44,43832603
18-08-21,12.48,12.54,12.2,12.2,12.2,63486461
19-08-21,12.16,12.31,12.1,12.19,12.19,50891284
20-08-21,12.2,12.27,12.14,12.26,12.26,39058388
23-08-21,12.39,12.53,12.39,12.49,12.49,69523912
24-08-21,12.55,12.85,12.53,12.81,12.81,115259132
25-08-21,12.79,12.95,12.47,12.5,12.5,133481635
26-08-21,12.7,12.9,12.61,12.79,12.79,130016212
27-08-21,12.75,12.75,12.53,12.68,12.68,64421920
31-08-21,12.72,12.78,12.64,12.68,12.68,53636208
01-09-21,12.73,12.98,12.73,12.9,12.9,89007860
02-09-21,12.92,12.93,12.8,12.9,12.9,54512227
03-09-21,12.95,13.09,12.82,12.88,12.88,92161781
06-09-21,12.91,12.99,12.85,12.95,12.95,53633696
07-09-21,12.94,13.09,12.65,12.65,12.65,103219177
08-09-21,12.68,12.69,12.36,12.42,12.42,69203476
09-09-21,12.45,12.63,12.37,12.63,12.63,63636589
10-09-21,12.68,12.71,12.4,12.41,12.41,49311149
13-09-21,12.43,12.5,12.36,12.43,12.43,38881204
14-09-21,12.48,12.54,12.4,12.44,12.44,65375501
15-09-21,12.4,12.42,12.17,12.26,12.26,50022705
16-09-21,12.3,12.47,12.27,12.47,12.47,71541980
17-09-21,12.53,12.8,12.51,12.72,12.72,126749273
20-09-21,12.6,12.91,12.55,12.81,12.81,118328969
21-09-21,12.9,13.1,12.81,13.05,13.05,134319994
22-09-21,13.1,13.19,12.98,13.19,13.19,93716506
23-09-21,13.2,13.37,13.09,13.33,13.33,92839027
24-09-21,13.29,13.63,13.27,13.62,13.62,71721378
27-09-21,13.69,13.77,13.44,13.53,13.53,89362029
28-09-21,13.53,13.89,13.52,13.78,13.78,109992789
29-09-21,13.83,13.87,13.65,13.78,13.78,86075020
30-09-21,13.83,14.09,13.78,13.95,13.95,76409871
01-10-21,13.92,14.12,13.84,14.05,14.05,97542462
04-10-21,14.11,14.18,13.87,13.87,13.87,74809181
05-10-21,13.83,14.09,13.8,14.04,14.04,84235163
06-10-21,14.02,14.06,13.61,13.71,13.71,67415705
07-10-21,13.81,14.12,13.8,14.12,14.12,67668536
08-10-21,14.18,14.28,14.08,14.09,14.09,64985391
11-10-21,14.15,14.31,14.09,14.2,14.2,37854961
12-10-21,14.11,14.27,13.92,14,14,84977064
