Date,Open,High,Low,Close,Adj Close,Volume
04-01-21,3.09,3.17,3.07,3.08,2.684831,285252300
05-01-21,3.05,3.12,3.02,3.05,2.65868,301749025
06-01-21,3.07,3.16,3.07,3.16,2.754568,313502020
07-01-21,3.2,3.3,3.19,3.29,2.867888,286782317
08-01-21,3.32,3.36,3.27,3.32,2.894039,202126741
11-01-21,3.29,3.32,3.18,3.24,2.824303,175029186
12-01-21,3.27,3.29,3.22,3.25,2.83302,118507039
13-01-21,3.27,3.29,3.22,3.26,2.841738,111027909
14-01-21,3.26,3.28,3.2,3.23,2.815587,127932010
15-01-21,3.19,3.21,3.11,3.15,2.74585,118102276
18-01-21,3.12,3.23,3.08,3.21,2.798152,148900221
19-01-21,3.24,3.25,3.18,3.21,2.798152,152122535
20-01-21,3.24,3.24,3.17,3.2,2.789435,129592511
21-01-21,3.2,3.29,3.17,3.18,2.772002,314299709
22-01-21,3.17,3.17,3.07,3.1,2.702266,164099011
25-01-21,3.13,3.15,3.03,3.05,2.65868,146903738
26-01-21,3.03,3.1,2.98,3.02,2.63253,205327373
27-01-21,3.01,3.05,2.88,2.88,2.510492,237779427
28-01-21,2.84,2.93,2.83,2.9,2.527926,341151844
29-01-21,2.86,2.89,2.84,2.85,2.484341,221286397
01-02-21,2.87,2.91,2.83,2.88,2.510492,184844485
02-02-21,2.9,2.93,2.86,2.88,2.510492,171441310
03-02-21,2.89,3.01,2.89,3.01,2.623813,220153946
04-02-21,3.02,3.02,2.93,2.95,2.571511,214093985
05-02-21,2.97,3,2.9,2.9,2.527926,145922893
08-02-21,2.94,2.94,2.87,2.92,2.54536,141370739
09-02-21,2.92,3.01,2.91,2.96,2.580228,364908820
10-02-21,2.98,2.99,2.9,2.93,2.554077,195172022
11-02-21,2.93,2.95,2.89,2.9,2.527926,127535661
12-02-21,2.89,2.91,2.86,2.88,2.510492,101524983
15-02-21,2.91,2.93,2.89,2.92,2.54536,132617964
16-02-21,2.93,2.95,2.83,2.85,2.484341,239416515
17-02-21,2.86,2.87,2.79,2.79,2.432039,197421128
18-02-21,2.79,2.83,2.73,2.75,2.397171,169703484
19-02-21,2.75,2.84,2.71,2.83,2.466907,201526051
22-02-21,2.83,2.84,2.76,2.76,2.405888,132865308
23-02-21,2.77,2.79,2.7,2.72,2.37102,184156094
24-02-21,2.7,2.74,2.66,2.66,2.318718,168465558
25-02-21,2.71,2.72,2.62,2.7,2.353586,132588598
26-02-21,2.63,2.71,2.6,2.65,2.310001,182601322
01-03-21,2.69,2.79,2.66,2.79,2.432039,134425025
02-03-21,2.78,2.78,2.73,2.75,2.397171,174096375
03-03-21,2.77,2.83,2.71,2.72,2.37102,190004366
04-03-21,2.7,2.78,2.68,2.77,2.414605,170539939
05-03-21,2.74,2.77,2.71,2.77,2.414605,132841212
08-03-21,2.76,2.77,2.7,2.7,2.353586,168873567
09-03-21,2.73,2.76,2.71,2.73,2.379737,117296014
10-03-21,2.74,2.81,2.73,2.79,2.432039,133950511
11-03-21,2.81,2.81,2.7,2.72,2.37102,113121969
12-03-21,2.72,2.77,2.71,2.74,2.388454,172369581
15-03-21,2.73,2.74,2.68,2.69,2.344869,111514557
16-03-21,2.7,2.74,2.69,2.71,2.362303,103860878
17-03-21,2.71,2.75,2.68,2.69,2.344869,190106458
18-03-21,2.7,2.8,2.69,2.75,2.397171,301107895
19-03-21,2.74,2.75,2.64,2.65,2.310001,153621404
22-03-21,2.43,2.46,2.39,2.39,2.083359,100523681
23-03-21,2.2,2.31,2.16,2.19,1.90902,363585890
24-03-21,2.23,2.31,2.18,2.23,1.943888,266352448
25-03-21,2.24,2.26,2.16,2.16,1.882869,189579489
26-03-21,2.19,2.22,2.14,2.19,1.90902,183224555
29-03-21,2.19,2.21,2.18,2.19,1.90902,115716246
30-03-21,2.19,2.22,2.16,2.19,1.90902,169916143
31-03-21,2.2,2.21,2.18,2.2,1.917737,99176357
01-04-21,2.17,2.25,2.16,2.25,2.015551,135042632
02-04-21,2.27,2.29,2.23,2.24,2.006593,102711152
05-04-21,2.23,2.24,2.2,2.24,2.006593,58137554
06-04-21,2.23,2.24,2.18,2.18,1.952845,143671382
07-04-21,2.18,2.21,2.13,2.2,1.970761,218971143
08-04-21,2.21,2.21,2.17,2.18,1.952845,120738881
09-04-21,2.17,2.19,2.08,2.1,1.881181,183574577
12-04-21,2.1,2.11,2.05,2.07,1.854307,194277219
13-04-21,2.07,2.1,2.01,2.08,1.863265,256728041
14-04-21,2.1,2.16,2.1,2.15,1.925971,241958893
15-04-21,2.17,2.24,2.14,2.21,1.979719,567211895
16-04-21,2.19,2.19,2.14,2.16,1.934929,208680052
19-04-21,2.15,2.17,2.08,2.08,1.863265,143531716
20-04-21,2.09,2.15,2.09,2.12,1.899097,204253455
21-04-21,2.11,2.11,2.05,2.07,1.854307,226567837
22-04-21,2.04,2.1,2.04,2.08,1.863265,180487480
26-04-21,2.08,2.1,2.06,2.1,1.881181,198730080
27-04-21,2.11,2.11,2.06,2.08,1.863265,168482048
28-04-21,2.08,2.11,2.07,2.1,1.881181,181883144
